time,open,high,low,close,Volume
1447695000,31.532,31.978,31.532,31.896,433460
1447698600,31.8895,32.299,31.88,32.1835,398140
1447702200,32.1905,32.4995,32.1905,32.4,607580
1447705800,32.4035,32.4495,32.31075,32.3605,341400
1447770600,32.5325,32.6595,32.1505,32.253,960860
1447774200,32.2485,32.3235,32.09625,32.1415,493460
1447777800,32.1745,32.4675,32.1745,32.3135,217400
1447781400,32.323,32.4955,32.237,32.3145,248320
1447785000,32.28,32.4245,32.201,32.201,155800
1447788600,32.1765,32.2425,32.0505,32.1125,199320
1447792200,32.0825,32.2015,32.0615,32.162,342600
1447857000,32.3395,32.716,32.336,32.6615,945480
1447860600,32.6875,32.8645,32.609,32.8285,375020
1447864200,32.824,32.9225,32.738,32.7465,302680
1447867800,32.768,32.8745,32.6825,32.862,165740
1447871400,32.868,32.965,32.8065,32.8845,366620
1447875000,32.875,33.1245,32.829,33.1245,444020
1447878600,33.1175,33.241,33.1055,33.18,539620
1447943400,33.2285,33.643,32.9585,33.509,1079740
1447947000,33.4995,33.5655,33.3365,33.4275,476020
1447950600,33.4025,33.404,33.219,33.404,411140
1447954200,33.3905,33.4735,33.3355,33.4495,130420
1447957800,33.456,33.5285,33.3095,33.3095,437720
1447961400,33.304,33.3255,33.0335,33.2525,412380
1447965000,33.2445,33.263,33.047,33.062,410860
1448029800,33.2,33.3375,32.883,33.0485,1024200
1448033400,33.052,33.2865,33.0355,33.2135,369960
1448037000,33.1815,33.248,33.0915,33.2445,227960
1448040600,33.2455,33.3345,33.213,33.3,299480
1448044200,33.238,33.2635,33.2115,33.2505,84920
1448047800,33.242,33.279,33.189,33.24,204920
1448051400,33.2545,33.441,33.2525,33.418,773860
1448289000,33.5905,33.965,33.513,33.907,938820
1448292600,33.9025,34.04,33.9025,33.951,333480
1448296200,33.941,34.115,33.93,34.1015,418040
1448299800,34.085,34.133,33.9495,33.968,297920
1448303400,33.9525,34.0285,33.6075,33.637,631140
1448307000,33.6185,33.8815,33.6,33.8585,230160
1448310600,33.8785,33.9675,33.861,33.966,326600
1448375400,33.6695,33.702,33.225,33.225,1011780
1448379000,33.219,33.528,33.0705,33.528,513080
1448382600,33.5575,33.7385,33.433,33.5295,370200
1448386200,33.531,33.7165,33.526,33.5795,249380
1448389800,33.6165,33.78875,33.5445,33.6115,182820
1448393400,33.6175,33.687,33.5895,33.5895,123240
1448397000,33.563,33.6145,33.5335,33.5655,263060
1448461800,33.7615,33.9715,33.7605,33.841,942980
1448465400,33.838,33.9085,33.5975,33.7165,412400
1448469000,33.7205,33.7985,33.656,33.7485,218120
1448472600,33.794,33.83,33.722,33.7235,89260
1448476200,33.75,33.7735,33.7315,33.737,74660
1448479800,33.7285,33.785,33.6685,33.782,165740
1448483400,33.779,33.7895,33.74,33.787,134980
1448634600,34.0305,34.0305,33.639,33.746,925440
1448638200,33.713,33.83,33.6135,33.816,375440
