time,open,high,low,close,Volume
1447691400,142.91,143.59,142.91,143.46,13623
1447695000,143.49,143.96,143.4,143.85,8104
1447698600,143.85,144.09,143.74,143.96,9228
1447702200,144.01,144.46,143.82,144.32,15130
1447705800,144.38,144.47,144.06,144.41,20805
1447770600,145.49,145.55,144.69,144.88,14092
1447774200,144.88,145.71,144.88,145.51,11900
1447777800,145.58,146.08,145.58,145.8,10232
1447781400,145.8,146.28,145.31,145.39,16537
1447785000,145.38,146.59,145.37,146.17,19834
1447788600,146.06,146.52,145.68,145.87,32385
1447792200,145.88,146.41,145.77,146.1,28683
1447857000,146.5,147.67,146.5,147.09,16734
1447860600,147.03,147.61,147.02,147.6,8395
1447864200,147.64,147.77,147.47,147.63,13445
1447867800,147.62,147.68,147.42,147.62,7800
1447871400,147.31,148.1,147.19,147.95,13369
1447875000,148.02,148.24,147.81,148.05,13258
1447878600,148.03,148.38,148.03,148.28,31231
1447943400,148.89,149.39,148.6,149.3,11924
1447947000,149.3,149.4,148.92,149.15,12552
1447950600,149.08,149.19,148.55,148.78,11066
1447954200,148.81,149.47,148.76,149.28,9113
1447957800,149.26,149.32,148.31,148.37,16011
1447961400,148.42,149.3,148.4,149.3,14835
1447965000,149.29,149.35,149.04,149.27,17552
1448029800,149.85,150.58,149.73,150.39,34842
1448033400,150.42,150.54,150.14,150.43,13560
1448037000,150.34,150.38,149.73,149.73,13266
1448040600,149.77,149.99,149.74,149.87,13370
1448044200,149.84,149.84,149.23,149.29,12174
1448047800,149.26,149.64,149.14,149.4,15942
1448051400,149.41,149.53,149.31,149.44,14448
1448289000,149.37,149.58,148.92,149.11,12774
1448292600,149.12,149.12,148.53,148.85,15439
1448296200,148.82,148.89,148.41,148.41,6377
1448299800,148.39,148.39,148.14,148.15,5236
1448303400,148.12,148.3,147.77,147.91,6927
1448307000,147.9,148.34,147.74,148.3,9948
1448310600,148.26,148.35,148.04,148.34,21039
1448375400,147.25,149.16,147.25,147.98,20098
1448379000,147.95,148.37,147.51,148.37,15521
1448382600,148.6,149.11,148.39,148.72,7846
1448386200,148.76,149.53,148.74,149.49,6933
1448389800,149.51,149.57,149.1,149.1,12429
1448393400,149.09,149.13,148.5,148.78,11335
1448397000,148.82,148.84,148.54,148.69,17170
1448461800,148.97,148.99,148.21,148.21,6352
1448465400,148.2,148.42,147.51,147.51,9550
1448469000,147.58,147.79,147.43,147.74,9537
1448472600,147.76,147.88,147.59,147.59,5000
1448476200,147.59,147.83,147.5,147.69,7294
1448479800,147.67,147.67,147.39,147.5,9831
1448483400,147.47,147.56,147.42,147.44,9473
1448634600,147.46,147.8,146.72,146.9,15206
1448638200,146.79,147.22,146.71,147.19,18036
1448641800,147.2,147.23,146.85,147.01,12263
1448645400,147.03,147.14,146.97,147,9875
1448893800,147.15,147.25,146.22,146.5,17507
1448897400,146.555,146.89,146.52,146.52,9400
1448901000,146.45,146.6,146.18,146.47,10150
1448904600,146.4,146.49,146.11,146.24,8000
1448908200,146.2,146.21,145.95,146.04,8354
1448911800,146,146.08,145.48,145.56,12007
1448915400,145.54,145.76,145.37,145.47,30034
1448980200,147.03,149.31,146.47,148.26,62216
1448983800,148.18,148.91,147.78,148.46,19467
1448987400,148.53,148.53,147.9,148.2,12915
1448991000,148.05,148.17,147.61,147.83,8706
1448994600,147.85,148.04,147.7,147.85,9222
1448998200,147.84,147.86,147.5,147.62,16823
1449001800,147.61,147.84,147.6,147.75,13518
1449066600,147.67,148,147.52,147.68,16451
1449070200,147.67,147.69,147.18,147.3,41039
1449073800,147.305,147.46,147.11,147.46,11943
1449077400,147.415,147.86,147.41,147.76,8231
1449081000,147.74,147.74,147.13,147.19,12430
1449084600,147.16,147.18,146.44,146.925,37210
1449088200,146.98,147.04,146.73,146.985,28142
1449153000,147.28,147.58,146,146,12402
1449156600,145.99,146.7,145.98,146.52,9650
1449160200,146.51,146.51,145.28,145.32,9136
1449163800,145.4,145.98,145.39,145.87,9600
1449167400,145.89,145.89,144.46,144.55,15467
1449171000,144.57,145.16,144.3,144.86,33043
1449174600,144.83,145.57,144.73,145.56,32873
1449239400,146.35,148.21,146.14,148.1,27073
1449243000,147.9,148.34,147.7,148.04,61783
1449246600,148.05,148.3,147.95,148.21,10964
1449250200,148.19,148.6,148.09,148.43,32715
1449253800,148.46,148.46,148.07,148.19,19805
1449257400,148.2,148.76,148.2,148.76,25701
1449261000,148.78,148.78,148.32,148.52,28582
1449498600,148.44,149.44,148.39,148.67,20447
1449502200,148.64,148.98,147.9,147.9,10974
1449505800,147.9,148.34,147.9,148.33,18361
1449509400,148.3,148.34,147.55,147.82,27974
1449513000,147.81,148.19,147.33,148.18,28991
1449516600,148.24,148.47,147.84,148.34,45386
1449520200,148.36,148.7,148.18,148.51,53375
1449585000,146.99,147,144.89,145.19,40318
1449588600,145.16,146.04,144.99,145.11,36091
1449592200,145.1,145.27,144.72,144.86,30486
1449595800,144.83,145.1,144.67,144.94,26021
1449599400,144.95,145.88,144.82,145.52,38171
1449603000,145.5,145.69,144.9,144.96,41538
1449606600,144.92,145.4,144.8,145.05,38516
1449671400,144.45,145.65,144.14,144.825,27192
1449675000,144.9,145.46,144.32,144.91,17399
1449678600,144.93,145.03,143.07,143.12,25157
1449682200,143.03,143.37,142.32,143.31,23623
1449685800,143.2,143.98,143.2,143.42,21938
1449689400,143.38,143.88,143.15,143.73,34554
1449693000,143.73,144.27,143.73,144.21,44954
1449757800,144.53,145.82,144.3,145.52,37459
1449761400,145.54,146.64,145.52,146.52,31804
1449765000,146.42,146.425,145.43,145.995,26977
1449768600,145.98,146.95,145.94,146.4,22111
1449772200,146.35,147.4,146.35,147.34,15633
1449775800,147.4,147.45,146.02,146.39,26377
1449779400,146.31,146.595,146.18,146.5,19516
1449844200,144.64,145.48,143.88,145.25,27573
1449847800,145.29,145.37,144.6,144.63,22740
1449851400,144.57,144.6,143.77,143.86,14183
1449855000,144,144.71,143.79,144.32,8199
1449858600,144.24,144.37,143.95,144.07,10392
1449862200,144.05,144.45,143.93,144.24,19734
1449865800,144.21,144.69,144.09,144.665,32108
1450103400,144.11,144.42,142.24,142.33,35667
1450107000,142.35,142.77,141.82,142.08,34863
1450110600,141.93,142.26,141.63,142.21,40720
1450114200,142.26,142.51,141.8,141.86,24985
1450117800,141.87,142,141.48,141.62,40027
1450121400,141.64,142.27,141.46,142.27,31228
1450125000,142.3,143.12,142.3,143.03,27595
1450189800,145.14,146.42,144.38,145.86,78046
1450193400,145.82,146.15,145.42,145.83,26694
1450197000,145.87,146.15,145.58,145.92,24774
1450200600,145.92,146.59,145.85,146.4,23181
1450204200,146.41,146.95,146.4,146.91,28215
1450207800,146.9,147.08,146.66,146.76,31675
1450211400,146.73,146.89,146.47,146.58,34838
1450276200,147.93,148.51,147.47,147.68,48991
1450279800,147.48,147.73,146.72,146.75,32977
1450283400,146.8,147.09,146.74,146.88,15204
1450287000,146.895,146.92,146.34,146.86,13104
1450290600,146.79,147.73,146.23,147,27671
1450294200,146.95,148,146.72,147.97,34551
1450297800,147.97,148.38,147.96,148.09,35290
1450362600,148.6,149.8,148.1,148.2,35671
1450366200,148.22,148.26,145.88,146.36,48102
1450369800,146.45,146.58,146.08,146.54,15461
1450373400,146.5,146.9,146.17,146.73,7780
1450377000,146.73,147.04,146.62,146.76,17517
1450380600,146.7,146.77,146.11,146.19,26624
1450384200,146.09,146.55,145.5,145.5,25190
1450449000,143.65,143.65,141.17,141.4,94858
1450452600,141.36,141.63,140.76,140.94,36823
1450456200,140.95,141.17,139.96,140.49,52752
1450459800,140.39,140.39,139.52,139.58,18875
1450463400,139.52,139.56,138.9,139.46,25296
1450467000,139.43,140.33,139,139.52,39640
1450470600,139.5,140.46,139.46,139.48,52057
1450708200,140.57,141.94,140.3,140.57,45658
1450711800,140.63,140.71,140.24,140.4,23188
1450715400,140.2,140.32,139.74,140.23,14233
1450719000,140.21,140.915,140.21,140.8,10304
1450722600,140.9,141.14,140.57,140.69,14568
1450726200,140.62,140.765,140.21,140.42,16366
1450729800,140.4,140.9,140.36,140.89,45466
1450794600,141.72,141.98,140.51,141.31,17430
1450798200,141.19,141.74,141.16,141.46,9900
1450801800,141.46,141.75,141.16,141.59,10773
1450805400,141.55,141.79,141.49,141.76,5700
1450809000,141.86,142.49,141.84,142.4,10705
1450812600,142.35,142.78,142.25,142.66,11612
1450816200,142.6,142.6,141.935,142.41,21112
1450881000,143.25,143.44,142.86,142.94,11547
1450884600,143,143.45,142.98,143.12,16474
1450888200,143.16,143.55,142.91,143.46,16520
1450891800,143.37,143.62,143.21,143.62,11120
1450895400,143.63,143.77,143.43,143.77,5762
1450899000,143.8,143.9,143.67,143.78,11610
1450902600,143.79,144.05,143.57,144.04,30614
1450967400,143.6,143.83,143.4,143.65,4694
1450971000,143.67,143.73,143.53,143.55,5000
1450974600,143.57,143.89,143.57,143.76,6900
1450978200,143.73,143.9,143.57,143.62,11520
1451313000,143.11,143.37,142.86,142.93,8787
1451316600,142.99,143.21,142.9,143.08,5010
1451320200,143,143.8,143,143.79,8763
1451323800,143.77,144.31,143.54,144.26,12155
1451327400,144.31,144.61,144.2,144.27,5704
1451331000,144.31,144.37,144.22,144.37,9585
1451334600,144.34,144.53,144.29,144.53,9795
1451399400,145.21,146.95,145.21,146.8,24839
1451403000,146.82,146.935,146.63,146.86,15277
1451406600,146.87,147.08,146.48,147,22105
1451410200,146.94,147.35,146.93,147.22,12025
1451413800,147.26,147.52,147.19,147.46,18979
1451417400,147.43,147.48,147.24,147.24,27852
1451421000,147.22,147.42,147.04,147.37,34560
1451485800,147.15,147.61,146.89,147.17,7801
1451489400,147.16,147.23,146.81,146.95,10504
1451493000,146.97,146.97,146.57,146.57,6800
1451496600,146.64,146.83,146.58,146.69,5750
1451500200,146.72,147,146.72,146.9,5773
1451503800,146.95,146.95,146.53,146.66,11835
1451507400,146.58,146.58,146.04,146.41,19905
1451572200,145.51,145.56,144.93,145.08,13931
1451575800,144.88,145.03,144.53,144.89,16237
1451579400,144.87,145.83,144.79,145.8,11493
1451583000,145.74,145.79,145.09,145.2,6000
1451586600,145.23,145.73,145.12,145.24,13100
1451590200,145.18,145.25,144.78,144.92,17300
1451593800,144.94,145.11,144.58,144.58,27092
1451917800,141.49,141.6,139.43,140.48,45867
1451921400,140.49,140.5,139.56,139.92,31783
1451925000,139.95,140.57,139.95,140.48,16137
1451928600,140.475,140.79,140.36,140.49,13201
1451932200,140.58,140.78,140.4,140.64,13772
1451935800,140.62,140.62,140.39,140.48,29773
1451939400,140.465,140.84,140.38,140.495,73533
1452004200,141.13,141.7,140.96,141.13,19175
1452007800,141.03,141.62,140.43,140.43,23683
1452011400,140.48,141,139.84,139.95,23239
1452015000,139.99,140.17,139.8,140.05,12949
1452018600,140.06,141.375,140.01,141.32,29691
1452022200,141.33,141.33,140.66,140.92,11383
1452025800,141.03,141.15,140.76,141.03,20639
1452090600,139.08,139.14,137.29,138.18,56297
1452094200,138.25,139.22,138.19,138.97,23573
1452097800,138.89,139.1,138.4,138.725,9550
1452101400,138.69,139.08,138.45,138.52,8166
1452105000,138.57,138.84,138.48,138.68,15194
1452108600,138.69,138.71,137.66,138.45,26365
1452112200,138.47,138.87,138.34,138.81,20037
1452177000,135.88,136.55,134.84,136.05,33287
1452180600,136.25,136.62,135.35,135.54,34802
1452184200,135.57,135.68,135.1,135.21,26051
1452187800,135.21,135.25,133.66,133.75,25546
1452191400,133.71,133.87,133.02,133.3,21963
1452195000,133.31,133.67,132.56,132.57,88475
1452198600,132.54,133.53,132.54,132.97,65606
1452263400,133.7,135.07,133.52,133.62,32846
1452267000,133.61,133.68,131.42,131.63,39655
1452270600,131.72,132.64,131.56,132,20086
1452274200,131.94,132.18,131.32,131.45,12382
1452277800,131.53,132,131.1,131.16,22993
1452281400,131.2,131.35,130.89,130.91,47382
1452285000,130.8,130.81,129.82,130,45650
1452522600,130.89,130.94,129.76,130.19,15381
1452526200,130.2,130.51,128.94,129.49,59946
1452529800,129.35,130.34,129.33,129.73,36411
1452533400,129.76,130.23,129.75,129.8,28692
1452537000,129.81,130.11,129.59,130,31792
1452540600,130.01,130.65,129.59,130.57,47977
1452544200,130.69,130.84,130.11,130.11,41383
1452609000,131.63,132.14,131.15,131.38,47751
1452612600,131.36,131.77,130.72,130.75,11300
1452616200,130.68,130.68,129.67,129.88,17961
1452619800,129.89,130.45,129.68,130.16,24930
1452623400,130.18,130.73,130.02,130.59,15207
1452627000,130.52,132.07,130.52,131.87,35314
1452630600,131.88,131.97,131.42,131.9,21345
1452695400,132.32,132.44,131.495,131.72,36344
1452699000,131.54,131.54,130.57,130.98,22110
1452702600,131.11,131.11,129.49,129.66,30830
1452706200,129.58,129.58,128.54,128.64,15820
1452709800,128.72,128.83,128.24,128.64,26390
1452713400,128.61,128.85,127.84,128.55,26369
1452717000,128.64,128.71,127.88,128.1,30915
1452781800,129.4,129.42,125.84,126.75,54540
1452785400,126.82,128.85,126.8,127.24,45481
1452789000,127.19,129.43,127.15,129.43,26442
1452792600,129.42,129.96,129.3,129.84,20126
1452796200,129.75,129.94,129.5,129.93,16980
1452799800,129.96,130.06,129.63,129.72,32065
1452803400,129.74,129.79,128.96,129.13,28213
1452868200,126.09,126.835,125.25,126.25,48351
1452871800,126.18,126.53,125.78,126.13,34958
1452875400,126.1,126.2,124.86,125.03,32860
1452879000,124.92,125.63,124.525,125.28,38508
1452882600,125.18,126.23,125.18,125.61,12565
1452886200,125.59,126.45,125.4,125.8,24290
