time,open,high,low,close,Volume
1447691400,53.2,53.545,53.2,53.5,211063
1447695000,53.5,53.76,53.36,53.71,287070
1447698600,53.69,53.83,53.54,53.79,284546
1447702200,53.79,53.885,53.68,53.82,261262
1447705800,53.825,53.87,53.665,53.76,299324
1447770600,53.32,53.53,53.02,53.12,648352
1447774200,53.12,53.47,53.11,53.41,310952
1447777800,53.415,53.51,53.27,53.28,271993
1447781400,53.28,53.33,53.15,53.16,141476
1447785000,53.15,53.26,53.03,53.04,275523
1447788600,53.04,53.12,52.86,53.035,395271
1447792200,53.04,53.115,52.925,52.98,344286
1447857000,53.05,53.42,52.98,53.265,474299
1447860600,53.26,53.52,53.17,53.51,413141
1447864200,53.52,53.55,53.24,53.4,356898
1447867800,53.405,53.54,53.375,53.54,196393
1447871400,53.545,53.755,53.41,53.58,314394
1447875000,53.585,53.7,53.45,53.62,349342
1447878600,53.63,53.97,53.62,53.85,501078
1447943400,53.99,54.53,53.79,54.34,658610
1447947000,54.35,54.655,54.26,54.6,341425
1447950600,54.6,54.61,54.19,54.34,231322
1447954200,54.33,54.535,54.32,54.44,253806
1447957800,54.45,54.54,54.28,54.29,294853
1447961400,54.29,54.32,53.87,54.13,394676
1447965000,54.13,54.17,53.93,53.95,230065
1448029800,54.27,54.29,53.4,53.4,767066
1448033400,53.405,53.75,53.27,53.66,430874
1448037000,53.66,53.75,53.475,53.73,283470
1448040600,53.735,53.94,53.62,53.91,273301
1448044200,53.91,54.185,53.86,54.06,362840
1448047800,54.065,54.24,54.015,54.105,285348
1448051400,54.11,54.2,54.005,54.19,338530
1448289000,54.26,54.455,54.05,54.29,426351
1448292600,54.285,54.39,54.15,54.175,309933
1448296200,54.17,54.21,54.05,54.09,226072
1448299800,54.09,54.22,54.005,54.15,199286
1448303400,54.15,54.2,53.79,53.84,249871
1448307000,53.845,54.04,53.75,54.01,183815
1448310600,54.015,54.245,53.975,54.19,250849
1448375400,53.88,54.15,53.83,53.9,451479
1448379000,53.89,54.115,53.58,54.05,310642
1448382600,54.06,54.25,53.99,54.07,292320
1448386200,54.08,54.2,54.025,54.19,178017
1448389800,54.2,54.44,54.12,54.13,188729
1448393400,54.13,54.425,54.11,54.28,177425
1448397000,54.275,54.355,54.15,54.27,184417
1448461800,54.05,54.22,53.84,53.93,428817
1448465400,53.93,54.02,53.92,53.96,288709
1448469000,53.96,54.15,53.95,54.09,195401
1448472600,54.08,54.15,53.975,54.015,147383
1448476200,54.02,54.03,53.905,53.99,174895
1448479800,53.99,53.99,53.88,53.93,202146
1448483400,53.91,53.94,53.69,53.69,238301
1448634600,53.94,54.065,53.81,53.86,309933
1448638200,53.87,54.065,53.85,54.02,151150
1448641800,54.03,54.08,53.875,54.02,113334
1448645400,54.015,54.03,53.915,53.95,99959
1448893800,54.51,54.81,54.09,54.29,1015676
1448897400,54.3,54.61,54.3,54.44,464268
1448901000,54.44,54.44,54,54.13,327948
1448904600,54.14,54.455,54.14,54.455,192544
1448908200,54.455,54.96,54.41,54.77,520297
1448911800,54.78,54.87,54.445,54.51,290317
1448915400,54.5,54.695,54.36,54.36,615555
1448980200,54.37,54.75,54.3,54.69,719646
1448983800,54.705,55.13,54.61,54.84,747386
1448987400,54.84,54.9,54.71,54.74,300440
1448991000,54.74,54.89,54.65,54.725,235295
1448994600,54.73,54.91,54.715,54.86,270252
1448998200,54.86,55,54.845,54.98,381155
1449001800,54.98,55.22,54.95,55.18,491381
1449066600,55.32,55.96,55.25,55.83,687712
1449070200,55.82,55.87,55.565,55.7,573842
1449073800,55.69,55.91,55.57,55.86,473640
1449077400,55.86,55.88,55.705,55.82,276813
1449081000,55.81,55.825,55.27,55.43,443802
1449084600,55.41,55.44,55.065,55.2,465174
1449088200,55.2,55.295,55.06,55.24,416638
1449153000,55.54,55.77,54.85,54.94,407532
1449156600,54.93,55.33,54.86,55.16,336928
1449160200,55.17,55.17,54.26,54.37,445633
1449163800,54.385,54.53,54.04,54.41,550066
1449167400,54.42,54.435,53.98,54.13,413515
1449171000,54.13,54.28,53.95,54.01,443833
1449174600,54.01,54.275,53.935,54.2,409930
1449239400,54.13,55.18,54.11,55.03,737075
1449243000,55.04,55.36,54.95,55.19,454387
1449246600,55.19,55.48,55.15,55.44,275015
1449250200,55.44,55.69,55.43,55.58,444214
1449253800,55.585,55.96,55.57,55.94,454171
1449257400,55.95,56.23,55.865,55.93,820262
1449261000,55.94,55.99,55.795,55.91,413667
1449498600,55.74,55.77,55.32,55.56,672669
1449502200,55.55,55.63,55.34,55.37,365807
1449505800,55.35,55.61,55.35,55.53,272677
1449509400,55.53,55.6,55.29,55.57,301870
1449513000,55.57,55.79,55.43,55.7,337203
1449516600,55.7,55.85,55.41,55.85,417623
1449520200,55.85,55.97,55.65,55.82,630665
1449585000,55.46,55.575,54.99,55.32,728948
1449588600,55.32,55.81,55.24,55.51,706964
1449592200,55.51,55.79,55.47,55.58,281031
1449595800,55.58,55.87,55.51,55.82,328693
1449599400,55.82,56.1,55.82,55.99,439574
1449603000,55.99,56.09,55.7,55.8,405572
1449606600,55.795,56,55.77,55.8,455541
1449671400,55.41,55.82,55.13,55.68,604472
1449675000,55.68,55.87,55.505,55.52,430137
1449678600,55.525,55.53,55,55.02,521980
1449682200,55.01,55.11,54.56,54.68,718628
1449685800,54.69,54.79,54.57,54.68,490549
1449689400,54.67,54.98,54.51,54.95,514237
1449693000,54.95,55.125,54.84,54.98,453543
1449757800,55.28,55.55,55.015,55.34,613103
1449761400,55.345,55.58,55.27,55.41,352518
1449765000,55.4,55.45,55.02,55.12,276033
1449768600,55.13,55.42,55.065,55.39,244105
1449772200,55.37,55.6,55.235,55.6,241704
1449775800,55.6,55.65,55.085,55.21,308839
1449779400,55.21,55.36,55.15,55.27,581914
1449844200,54.44,55.1,54.4,54.95,692410
1449847800,54.95,55.01,54.55,54.59,521963
1449851400,54.595,54.64,54.12,54.32,488903
1449855000,54.315,54.6,54.255,54.32,459243
1449858600,54.33,54.69,54.26,54.55,329803
1449862200,54.55,54.57,54.1,54.215,434453
1449865800,54.205,54.39,54.01,54.07,635222
1450103400,54.19,54.42,53.68,53.78,1315342
1450107000,53.79,54.3,53.775,54.07,870590
1450110600,54.07,54.49,53.88,54.47,703843
1450114200,54.475,54.69,54.35,54.65,507109
1450117800,54.64,54.69,54.42,54.62,385636
1450121400,54.62,55,54.545,54.98,598645
1450125000,54.97,55.21,54.75,55.16,747601
1450189800,55.62,55.9,55.45,55.64,1136248
1450193400,55.65,55.67,55.125,55.24,573401
1450197000,55.24,55.525,55.095,55.3,552296
1450200600,55.3,55.59,55.3,55.38,464144
1450204200,55.38,55.63,55.35,55.525,258236
1450207800,55.535,55.61,55.22,55.26,311576
1450211400,55.255,55.33,55.14,55.19,387259
1450276200,55.61,55.78,55.34,55.37,588133
1450279800,55.37,55.57,55.27,55.28,388898
1450283400,55.27,55.36,55.095,55.13,345026
1450287000,55.14,55.16,54.97,55.11,273229
1450290600,55.09,55.49,54.77,55.32,839311
1450294200,55.32,56.09,55.17,56.06,838736
1450297800,56.06,56.24,56.025,56.13,618681
1450362600,56.3,56.785,56.165,56.205,1251672
1450366200,56.21,56.26,55.62,55.83,572343
1450369800,55.82,55.89,55.54,55.79,519200
1450373400,55.82,56.32,55.75,56.29,452101
1450377000,56.28,56.4,56.09,56.27,632401
1450380600,56.26,56.31,55.8,55.95,444500
1450384200,55.94,56.19,55.69,55.7,477658
1450449000,55.78,55.99,54.91,54.99,804085
1450452600,54.99,55.22,54.85,55.02,690417
1450456200,55.03,55.2,54.965,54.99,359740
1450459800,54.99,55.05,54.73,54.85,495991
1450463400,54.86,55.17,54.78,55.15,460564
1450467000,55.155,55.225,54.8,54.88,623037
1450470600,54.875,55,54.04,54.19,932472
1450708200,54.82,55.34,54.7,54.885,889881
1450711800,54.89,54.91,54.395,54.48,509863
1450715400,54.48,54.48,54.23,54.36,622501
1450719000,54.36,54.68,54.36,54.515,260615
1450722600,54.515,54.77,54.51,54.65,239891
1450726200,54.64,54.65,54.405,54.56,324436
1450729800,54.57,54.82,54.545,54.81,620134
1450794600,54.78,55.13,54.5,55.09,665458
1450798200,55.09,55.09,54.77,54.95,485427
1450801800,54.95,55.2,54.91,55.04,255762
1450805400,55.05,55.18,54.895,55.01,279750
1450809000,55.01,55.25,54.96,55.15,229994
1450812600,55.14,55.475,55.09,55.44,320902
1450816200,55.43,55.44,55.24,55.36,326527
1450881000,55.57,55.875,55.56,55.7,486200
1450884600,55.71,55.76,55.53,55.62,428705
1450888200,55.625,55.735,55.54,55.55,262878
1450891800,55.55,55.64,55.445,55.59,323717
1450895400,55.58,55.81,55.55,55.76,311777
1450899000,55.78,55.87,55.695,55.71,179423
1450902600,55.71,55.85,55.705,55.82,220692
1450967400,55.89,55.96,55.68,55.815,238533
1450971000,55.82,55.82,55.51,55.52,151811
1450974600,55.52,55.82,55.44,55.8,122838
1450978200,55.8,55.83,55.65,55.7,120232
1451313000,55.39,55.405,55.04,55.15,380721
1451316600,55.14,55.23,54.98,55.18,274334
1451320200,55.17,55.335,55.16,55.29,163678
1451323800,55.29,55.66,55.23,55.64,165456
1451327400,55.65,55.86,55.51,55.83,219329
1451331000,55.84,55.94,55.75,55.82,213493
1451334600,55.82,55.95,55.81,55.94,159651
1451399400,56.24,56.64,56.06,56.25,614227
1451403000,56.26,56.545,56.24,56.47,253779
1451406600,56.46,56.63,56.45,56.56,186814
1451410200,56.555,56.62,56.48,56.615,157816
1451413800,56.62,56.85,56.62,56.76,297587
1451417400,56.76,56.84,56.66,56.77,240441
1451421000,56.78,56.78,56.53,56.55,292295
1451485800,56.495,56.77,56.29,56.59,263430
1451489400,56.57,56.71,56.47,56.58,194883
1451493000,56.59,56.61,56.45,56.605,248668
1451496600,56.6,56.7,56.55,56.61,133696
1451500200,56.61,56.73,56.6,56.635,186932
1451503800,56.635,56.715,56.585,56.625,154451
1451507400,56.62,56.63,56.29,56.31,224435
1451572200,56.06,56.1,55.57,55.58,435818
1451575800,55.58,55.73,55.425,55.57,321525
1451579400,55.565,56.11,55.53,56.09,326777
1451583000,56.085,56.19,55.85,55.87,166745
1451586600,55.86,56.04,55.69,55.72,222867
1451590200,55.72,55.76,55.53,55.64,349150
1451593800,55.64,55.84,55.45,55.45,238508
1451917800,54.33,54.535,53.82,53.825,1003688
1451921400,53.82,53.89,53.39,53.67,799933
