time,open,high,low,close,Volume
1447691400,107.53,108.32,106.97,108.25,106554
1447695000,108.21,109.56,108.06,108.71,88594
1447698600,108.75,110.54,108.53,110.05,79964
1447702200,110.04,111.29,109.94,111.25,128826
1447705800,111.24,111.64,111,111.29,113968
1447770600,112.1,114.72,111.76,113.78,235849
1447774200,113.73,116.65,113.47,115.89,203328
1447777800,115.9,118.79,115.88,117.42,189015
1447781400,117.37,118.44,116.77,117.13,183797
1447785000,117.1,117.29,115.87,115.87,127009
1447788600,115.855,116.63,115.05,116.22,160878
1447792200,116.17,117.26,115.95,117.18,137535
1447857000,118.01,120.28,116.13,119.89,250044
1447860600,119.91,119.98,118.56,119.45,151699
1447864200,119.43,120.49,118.88,118.97,114735
1447867800,119.01,120.33,118.81,120.09,75896
1447871400,120.17,120.84,119.67,120,164099
1447875000,119.95,120.51,119.42,120.07,128190
1447878600,120.08,120.99,119.94,120.61,118312
1447943400,120.17,123.12,119.71,121.62,216421
1447947000,121.86,122.04,120.61,120.8,186565
1447950600,120.75,121.25,119.92,120.99,101138
1447954200,120.98,121.94,120.22,121.46,71963
1447957800,121.51,121.8,120.21,120.6,68715
1447961400,120.52,120.85,119.65,120.31,98936
1447965000,120.29,120.52,119.94,120.18,69204
1448029800,120.89,121.37,119.28,120.17,115045
1448033400,120.25,121.79,120.1,121.71,94654
1448037000,121.69,123,120.75,122.87,85311
1448040600,122.96,123.86,122.65,123.61,91840
1448044200,123.64,124.05,123,123.63,84122
1448047800,123.61,123.83,122.44,123.09,89647
1448051400,123.09,123.9,122.97,123.86,73553
1448289000,124.06,124.7,121.8,123.36,192660
1448292600,123.37,125.43,123.15,125.21,77728
1448296200,125.18,125.92,124.51,125.55,65840
1448299800,125.42,126.18,125.34,125.79,57313
1448303400,125.69,125.75,123.95,123.96,60923
1448307000,123.88,125.56,123.87,125.33,59801
1448310600,125.36,125.38,124.86,125.03,39519
1448375400,123.62,124.63,120.63,120.76,140320
1448379000,120.81,121.98,120.04,121.94,119180
1448382600,122,123.81,121.96,122.92,83416
1448386200,122.915,123.78,122.475,123.11,47918
1448389800,123.21,124.59,123.21,123.45,63846
1448393400,123.52,123.98,123.08,123.25,49849
1448397000,123.24,123.39,123.04,123.33,46495
1448461800,124.2,125.19,123.71,123.87,84246
1448465400,123.93,124.48,122.74,122.8,82688
1448469000,122.82,123.25,122.4,123.02,42555
1448472600,123.01,123.58,122.94,123.11,23684
1448476200,123.03,123.9,122.95,123.88,28312
1448479800,123.76,124.49,123.41,124.47,59803
1448483400,124.45,124.45,124.02,124.16,50833
1448634600,123.84,126.37,123.75,125.95,117875
1448638200,125.94,125.94,124.77,125.59,44558
1448641800,125.65,126,125.24,125.56,26869
1448645400,125.58,125.76,125.31,125.45,30727
1448893800,125.95,126.57,125,125.96,128387
1448897400,126,126.19,124.69,124.84,72771
1448901000,124.76,124.86,123.185,123.37,50116
1448904600,123.29,124.07,123.11,123.69,54075
1448908200,123.7,124.37,123.37,124.06,36599
1448911800,124.04,124.23,123.05,123.1,45070
1448915400,123.1,123.53,122.91,123.36,58997
1448980200,124.44,125.05,122.56,123.01,93481
1448983800,122.98,124.58,122.81,124.57,60862
1448987400,124.57,124.97,123.87,124.85,27486
1448991000,124.91,125.5,124.69,125.2,51523
1448994600,125.15,125.55,124.69,125.39,31803
1448998200,125.4,125.5,124.93,125.31,43258
1449001800,125.29,125.38,124.92,125.34,30533
1449066600,125.53,130.59,124.98,130.26,266886
1449070200,130.24,131.34,129.42,129.71,161663
1449073800,129.73,130.71,129.49,129.96,64442
1449077400,129.95,130.75,129.51,130.16,56596
1449081000,130.14,130.25,127.84,128.52,107641
1449084600,128.58,129.29,127.53,129,88711
1449088200,129,129.3,128.41,129.06,70195
1449153000,129.67,130.91,127.62,130,185761
1449156600,129.88,132.19,129.88,131.5,110962
1449160200,131.45,131.7,129.17,129.5,84283
1449163800,129.44,130.15,127.87,128.93,76313
1449167400,128.95,129.06,127.11,127.36,124446
1449171000,127.32,127.74,126.39,127.28,177763
1449174600,127.28,127.72,126.65,126.83,102459
1449239400,127.02,128.49,126.05,126.05,157561
1449243000,126,128.45,125.75,127.73,129002
1449246600,127.83,128.81,127.18,128.65,61010
1449250200,128.78,129.34,128.5,128.82,58120
1449253800,128.89,130.15,128.66,130.08,71335
1449257400,130.04,130.37,129.81,130.29,74798
1449261000,130.33,130.99,130.15,130.88,85589
1449498600,131.3,133.215,129.06,129.24,176069
1449502200,129.25,129.25,126.76,126.97,148774
1449505800,126.98,127.9,126.64,127.33,107175
1449509400,127.34,127.48,126.3,127.21,94174
1449513000,127.12,127.55,125.86,126.46,66134
1449516600,126.51,126.52,122.76,123.98,201910
1449520200,124.1,125.45,124.1,125.34,95095
1449585000,121.33,125.21,121.13,123.55,177339
1449588600,123.56,127.05,123.5,126.39,113768
1449592200,126.1,127.45,125.93,127.45,51760
1449595800,127.47,127.7,126.24,126.96,46733
1449599400,127.02,127.86,126.72,127.64,41022
1449603000,127.63,128.23,126.33,126.52,58030
1449606600,126.46,127.45,126.16,127.02,92358
1449671400,127.62,128.47,126.42,127.76,150403
1449675000,128.05,128.71,126.7,126.8,66064
1449678600,126.92,127.44,124.37,124.57,75114
1449682200,124.51,124.51,122.52,122.75,123189
1449685800,122.77,123.84,122.35,122.87,115790
1449689400,122.77,124.54,122.37,124.13,72497
1449693000,124.29,124.64,123.8,124.16,62869
1449757800,124.6,125.12,122.34,123.08,138307
1449761400,123.11,124.65,122.67,123.32,54115
1449765000,123.33,123.33,121.63,122.64,38633
1449768600,122.62,123.2,122.15,122.82,24523
1449772200,122.89,124.47,122.83,124.4,33376
1449775800,124.55,124.56,122.36,122.89,58366
1449779400,122.86,123.16,122.55,122.94,42050
1449844200,121.26,122.955,120.52,121.39,105991
1449847800,121.3,121.33,118.84,119.18,115928
