time,open,high,low,close,Volume
1447691400,0.75325,0.7575,0.75175,0.756,2617640
1447695000,0.75625,0.75725,0.753,0.75325,2425200
1447698600,0.75325,0.755,0.75175,0.755,1848360
1447702200,0.75475,0.7585,0.7545,0.75725,3639040
1447705800,0.757375,0.76025,0.75675,0.76,2710600
1447770600,0.7635,0.764,0.757,0.76075,2882720
1447774200,0.761,0.765875,0.7605,0.764375,2248000
1447777800,0.76425,0.76625,0.763,0.7645,1279920
1447781400,0.7645,0.76525,0.758875,0.759,1238200
1447785000,0.759,0.763,0.759,0.76225,1332320
1447788600,0.76175,0.76175,0.7575,0.75975,1762320
1447792200,0.75975,0.7615,0.75925,0.760125,1567120
1447857000,0.76025,0.76075,0.752,0.7525,4057360
1447860600,0.752625,0.7605,0.7525,0.7595,4026480
1447864200,0.75975,0.7655,0.7595,0.76375,2579560
1447867800,0.764,0.768625,0.7625,0.76725,2397760
1447871400,0.767,0.77075,0.7665,0.77,1636360
1447875000,0.77025,0.7755,0.76975,0.7745,4121960
1447878600,0.77425,0.77675,0.773875,0.77575,4445400
1447943400,0.77725,0.78125,0.7745,0.7765,2322320
1447947000,0.777,0.778,0.77375,0.77375,2268400
1447950600,0.774,0.7785,0.77225,0.7785,1467080
1447954200,0.7785,0.78575,0.778,0.78325,1886800
1447957800,0.783,0.78425,0.77675,0.7785,1778760
1447961400,0.7785,0.781,0.778,0.780625,2491960
1447965000,0.78075,0.78125,0.777625,0.77775,1703320
1448029800,0.782,0.78625,0.779,0.78575,2574000
1448033400,0.7855,0.789,0.78525,0.7875,2417800
1448037000,0.78775,0.78875,0.786625,0.7875,3553840
1448040600,0.7875,0.7885,0.78725,0.78775,1685480
1448044200,0.78775,0.7885,0.7865,0.788,2216200
1448047800,0.788,0.78825,0.783,0.78375,2115000
1448051400,0.784,0.785,0.783625,0.784875,1440560
1448289000,0.7855,0.7855,0.773,0.7775,3635800
1448292600,0.77775,0.779625,0.771,0.7745,2472480
1448296200,0.77425,0.77725,0.7725,0.7765,1809480
1448299800,0.77575,0.779,0.77425,0.7765,3027840
1448303400,0.7765,0.77725,0.77175,0.77175,2573520
1448307000,0.77125,0.7745,0.77025,0.774375,2481240
1448310600,0.7745,0.774875,0.772375,0.77275,1725920
1448375400,0.7725,0.779,0.7715,0.774,3514440
1448379000,0.77375,0.781125,0.76975,0.781,3095720
1448382600,0.781375,0.785625,0.781,0.78225,2523040
1448386200,0.7825,0.7855,0.78175,0.7855,712600
1448389800,0.7855,0.786,0.78275,0.78275,1151520
1448393400,0.78225,0.783,0.77925,0.779875,2043200
1448397000,0.77975,0.77975,0.777,0.77925,1564200
1448461800,0.7765,0.784,0.77625,0.784,2218280
1448465400,0.78425,0.786875,0.782375,0.7825,1711000
1448469000,0.782,0.7835,0.780375,0.782,942680
1448472600,0.782,0.7835,0.78,0.78,627000
1448476200,0.77975,0.781,0.77875,0.77925,739440
1448479800,0.779,0.78025,0.77725,0.77875,1404880
1448483400,0.7785,0.77925,0.77725,0.778375,835400
1448634600,0.779,0.7845,0.77575,0.78375,3199560
1448638200,0.78375,0.78725,0.78275,0.785,1215760
1448641800,0.7845,0.78575,0.78225,0.784625,1383720
1448645400,0.78475,0.785125,0.782,0.7845,1294840
1448893800,0.78575,0.79625,0.78525,0.78975,2471440
1448897400,0.790125,0.7945,0.79,0.7915,1949320
1448901000,0.79175,0.793125,0.7885,0.7925,1585960
1448904600,0.7925,0.7925,0.79,0.7925,1393680
1448908200,0.79225,0.79475,0.792,0.79325,1277600
1448911800,0.793375,0.79425,0.79125,0.792,1407920
1448915400,0.792,0.79375,0.79025,0.792875,2890400
1448980200,0.79975,0.81725,0.79975,0.81,6189520
1448983800,0.81,0.815,0.80825,0.812,5093520
1448987400,0.81225,0.81475,0.81,0.8125,2217240
1448991000,0.812625,0.81375,0.81125,0.81125,1971200
1448994600,0.811,0.8185,0.80925,0.8175,3326640
1448998200,0.8175,0.8185,0.81525,0.8185,3618360
1449001800,0.8185,0.81925,0.817,0.8185,3870200
1449066600,0.82,0.8285,0.8165,0.82525,5232400
1449070200,0.82525,0.825375,0.81775,0.81875,3205760
1449073800,0.8185,0.81925,0.815,0.81675,1387800
1449077400,0.81675,0.82225,0.81575,0.82,2512240
1449081000,0.82,0.8205,0.81275,0.813125,1767000
1449084600,0.81325,0.81575,0.81225,0.813,2300760
1449088200,0.81325,0.81425,0.811,0.8125,1656440
1449153000,0.82,0.82725,0.815625,0.819,2679160
1449156600,0.819,0.82275,0.8175,0.821,2624600
1449160200,0.82125,0.82125,0.8095,0.81025,1660320
1449163800,0.81025,0.816,0.80975,0.81525,3701240
1449167400,0.81525,0.81575,0.80875,0.80875,2708800
1449171000,0.80875,0.81025,0.807375,0.808,1832760
1449174600,0.808,0.811,0.807,0.811,1953560
1449239400,0.81175,0.83475,0.81175,0.83075,5897320
1449243000,0.83125,0.839375,0.83125,0.83425,8954480
1449246600,0.8345,0.83575,0.828,0.8355,4685600
1449250200,0.83525,0.839125,0.835125,0.837,3200640
1449253800,0.837,0.841125,0.83475,0.841125,4019800
1449257400,0.841,0.845,0.8395,0.845,6812240
1449261000,0.845,0.845125,0.84225,0.8435,6317720
1449498600,0.84325,0.84325,0.83225,0.83475,3695160
1449502200,0.834625,0.83525,0.827,0.82975,4856600
1449505800,0.83,0.836,0.82975,0.83275,2596600
1449509400,0.8325,0.833,0.8265,0.82675,2351360
1449513000,0.82675,0.83075,0.82625,0.82925,2128040
1449516600,0.829,0.8295,0.8255,0.828,2249120
1449520200,0.82825,0.8285,0.8265,0.828,3148720
1449585000,0.817125,0.82625,0.81375,0.81875,3567720
1449588600,0.8185,0.83275,0.81775,0.830625,4194360
1449592200,0.83025,0.83425,0.83,0.83375,2353880
1449595800,0.8335,0.8385,0.83275,0.8365,2300240
1449599400,0.83675,0.8425,0.83675,0.84,3076880
1449603000,0.84,0.84175,0.8385,0.839,3670960
1449606600,0.83875,0.84025,0.83775,0.83925,3499520
1449671400,0.842,0.842,0.8305,0.8305,3374520
1449675000,0.830625,0.834,0.82375,0.82475,1922720
1449678600,0.82475,0.82625,0.81375,0.814,3065400
1449682200,0.81375,0.81575,0.809375,0.81425,3254840
1449685800,0.81425,0.81625,0.8125,0.8145,3134760
1449689400,0.81425,0.81725,0.813,0.815625,2431280
1449693000,0.815625,0.819375,0.815625,0.81775,4254960
1449757800,0.8205,0.82875,0.81975,0.82175,3222960
1449761400,0.82225,0.8225,0.8175,0.81875,2783720
1449765000,0.818,0.8225,0.8175,0.82,2250080
1449768600,0.820125,0.821625,0.818625,0.82125,3246960
1449772200,0.821,0.8285,0.821,0.828,3164440
1449775800,0.828,0.828875,0.82475,0.8265,3711120
