time,open,high,low,close
1447078200,15.34,16.3,15.14,16.28
1447085400,16.31,17.09,16.23,16.49
1447092600,16.48,16.96,16.32,16.89
1447099800,16.86,17.01,16.05,16.52
1447164600,16.69,16.96,15.93,16.42
1447171800,16.43,16.53,15.89,16.15
1447179000,16.14,16.17,15.39,15.51
1447186200,15.5,15.64,15.24,15.29
1447251000,15.07,15.96,15.07,15.72
1447258200,15.73,15.82,15.02,15.49
1447265400,15.51,15.98,15.37,15.98
1447272600,16,16.15,15.76,16.06
1447337400,17.06,17.37,16.65,16.65
1447344600,16.67,17.5,16.67,17.07
1447351800,17.08,18,16.8,17.84
1447359000,17.83,18.5,17.68,18.37
1447423800,18.68,20.12,18.2,19.62
1447431000,19.61,20.01,18.79,19.6
1447438200,19.58,20.54,19.23,20.25
1447445400,20.26,20.67,19.96,20.08
1447683000,20.51,20.55,18.8,20.08
1447690200,20.09,20.16,19.28,19.29
1447697400,19.28,19.28,17.48,18.18
1447704600,18.14,18.2,17.25,18.16
1447769400,17.82,18.81,16.86,17.79
1447776600,17.8,18.28,16.93,18.02
1447783800,17.96,19.3,17.53,19.24
1447791000,19.31,19.59,18.73,18.84
1447855800,19.01,19.45,17.77,18.42
1447863000,18.39,18.43,17.44,17.67
1447870200,17.68,18.98,16.81,17.21
1447877400,17.22,17.67,16.8,16.85
1447942200,16.25,18.26,16,16.96
1447949400,16.95,17.26,16.1,16.74
1447956600,16.73,17.25,16.67,17.1
1447963800,17.11,17.16,16.69,16.99
1448028600,16.13,16.38,15.65,16.18
1448035800,16.16,16.22,15.6,15.72
1448043000,15.73,16.35,15.54,16.29
1448050200,16.3,16.31,15.47,15.47
1448287800,16.15,16.74,15.7,15.87
1448295000,15.86,15.86,15.38,15.41
1448302200,15.43,16.24,15.43,15.9
1448309400,15.89,15.89,15.56,15.62
1448374200,16.53,17.21,16.28,16.82
1448381400,16.83,16.83,15.65,15.65
1448388600,15.63,16.06,15.48,15.58
1448395800,15.59,15.93,15.49,15.93
1448460600,15.55,15.89,15.2,15.39
1448467800,15.37,15.48,15.1,15.14
1448475000,15.13,15.28,15.12,15.13
1448482200,15.14,15.28,15.05,15.19
1448633400,15.31,16.09,15.3,15.39
1448640600,15.38,15.6,15.21,15.35
1448647800,15.36,15.47,15.12,15.12
1448892600,15.55,16.19,15.52,16.09
1448899800,16.07,16.55,15.94,16.35
1448907000,16.36,16.5,16.01,16.43
1448914200,16.42,16.57,16.06,16.13
1448979000,15.61,16.34,15.24,15.89
1448986200,15.88,15.95,15.25,15.4
1448993400,15.38,15.62,15.03,15.08
1449000600,15.06,15.1,14.63,14.67
1449065400,15.04,15.13,14.71,15.08
1449072600,15.09,15.42,15,15.21
1449079800,15.22,16.49,15.05,16.21
1449087000,16.2,16.32,15.86,15.91
1449151800,15.87,17.19,15.86,16.52
1449159000,16.5,17.89,16.32,17.63
1449166200,17.61,19.35,17.24,18.82
1449173400,18.88,19.26,18.06,18.11
1449238200,17.43,17.65,16.09,16.17
1449245400,16.2,16.48,15.3,15.3
1449252600,15.29,15.68,14.84,14.84
1449259800,14.85,15.33,14.69,14.81
1449497400,15.65,16.91,15.58,16.72
1449504600,16.73,17.18,16.53,16.71
1449511800,16.72,17.02,16.45,16.94
1449519000,16.92,17.04,15.84,15.84
1449583800,17.69,18.33,16.52,16.79
1449591000,16.81,17.78,16.77,17.46
1449598200,17.49,17.87,17,17.41
1449605400,17.38,17.76,17.19,17.6
1449670200,18.05,18.1,16.64,17.25
1449677400,17.24,20.13,17.12,19.6
1449684600,19.71,20,19.29,19.47
1449691800,19.45,19.61,18.79,19.61
1449756600,19.25,19.63,18.51,19.22
1449763800,19.19,19.72,18.99,19.26
1449771000,19.25,19.33,18.13,18.78
1449778200,18.79,19.41,18.79,19.34
1449843000,21.36,22.26,20.88,22.12
1449850200,22.19,24.77,21.85,24.36
1449857400,24.33,24.86,23.44,24.07
1449864600,24.08,25.27,24.08,24.39
1450102200,24.7,26.29,24.07,25.84
1450109400,25.89,26.81,23.7,23.93
1450116600,23.91,24.41,22.78,23.24
1450123800,23.26,23.4,22.2,22.73
1450188600,20.76,21.3,20.02,21.12
1450195800,21.13,21.62,20.45,20.98
1450203000,20.99,21.38,20.56,20.72
1450210200,20.71,21.19,20.71,20.95
1450275000,19.25,20.03,18.84,19.97
1450282200,19.99,20.24,19.77,19.98
1450289400,19.99,20,17.16,17.72
1450296600,17.76,18.09,17.12,17.86
1450361400,16.18,18.85,16.13,18.59
1450368600,18.61,19.05,18.14,18.31
1450375800,18.33,18.36,17.45,17.97
1450383000,17.96,18.95,17.83,18.94
1450447800,19.34,21.55,18.75,19.43
1450455000,19.41,21.32,19.24,20.54
1450462200,20.56,21.28,19.79,19.79
1450469400,19.8,21.64,19.76,20.7
1450707000,19.64,19.87,18.96,19.46
1450714200,19.44,20.21,19.43,19.49
1450721400,19.5,19.6,19.18,19.59
1450728600,19.62,19.7,18.7,18.7
1450793400,17.61,18.22,17.46,17.47
1450800600,17.45,17.77,16.96,17.11
1450807800,17.17,17.26,16.86,16.86
1450815000,16.87,17.14,16.6,16.6
1450879800,15.86,16.19,15.7,15.95
1450887000,15.96,16,15.63,15.94
1450894200,15.97,16.25,15.48,15.63
1450901400,15.62,15.69,15.33,15.57
1450966200,15.44,15.88,15.43,15.67
1450973400,15.66,15.85,15.26,15.77
1450980600,15.79,15.84,15.74,15.74
1451311800,17.65,18.13,17.5,17.94
1451319000,17.93,17.93,17.49,17.52
1451326200,17.5,17.52,16.99,17.11
1451333400,17.1,17.24,16.88,16.91
1451398200,15.91,16.13,15.63,16.01
1451405400,16,16.48,15.98,16.27
1451412600,16.25,16.29,16.04,16.04
1451419800,16.05,16.43,16.05,16.08
1451484600,16.5,17.07,16.5,16.93
1451491800,16.89,17.15,16.89,17.03
1451499000,17.04,17.16,16.7,16.84
