Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,777,202.59,203.44,200.2,200.3,2,-17
6/23/25,451,201.625,202.3,198.96,201.5,0,-10
6/20/25,570,198.235,201.7,196.855,201,2,-15
6/19/25,741,,,,,2,-5
6/18/25,645,195.94,197.57,195.07,196.58,1,-5
6/17/25,827,197.2,198.39,195.21,195.64,7,-12
6/16/25,546,197.3,198.685,196.5636,198.42,1,-9
6/13/25,821,199.73,200.37,195.7,196.45,13,-7
6/12/25,780,199.08,199.68,197.3601,199.2,0,-20
6/11/25,1170,203.5,204.5,198.41,198.78,6,-13
6/10/25,3297,200.6,204.35,200.57,202.67,8,-34
6/9/25,758,204.39,206,200.02,201.45,0,-10
6/6/25,875,203,205.7,202.05,203.92,11,-20
6/5/25,943,203.5,204.75,200.15,200.63,3,-41
6/4/25,638,202.91,206.24,202.1,202.82,1,-13
6/3/25,586,201.35,203.77,200.955,203.27,5,-10
6/2/25,354,200.28,202.13,200.12,201.7,1,-4
5/30/25,805,199.37,201.96,196.78,200.85,5,-16
5/29/25,961,203.575,203.81,198.51,199.95,5,-11
5/28/25,1167,200.59,202.73,199.9,200.42,10,-27
5/27/25,860,198.3,200.74,197.43,200.21,6,-13
5/26/25,782,,,,,0,-13
5/23/25,1294,193.665,197.7,193.46,195.27,1,-39
5/22/25,1001,200.71,202.75,199.7,201.36,0,-18
5/21/25,861,205.17,207.04,200.71,202.09,0,-16
5/20/25,825,207.67,208.47,205.03,206.86,4,-20
5/19/25,653,207.91,209.48,204.26,208.78,3,-13
5/16/25,1443,212.36,212.57,209.77,211.26,2,-16
5/15/25,1113,210.95,212.96,209.54,211.45,8,-11
5/14/25,1109,212.43,213.94,210.5801,212.33,17,-12
5/13/25,1611,210.43,213.4,209,212.93,27,-20
5/12/25,796,210.97,211.2679,206.75,210.79,7,-13
5/9/25,896,199,200.5399,197.535,198.53,6,-31
5/8/25,1201,197.72,200.05,194.6796,197.49,3,-87
5/7/25,730,199.17,199.44,193.25,196.25,2,-17
5/6/25,1029,198.21,200.65,197.02,198.51,9,-30
5/5/25,439,203.1,204.1,198.21,198.89,1,-17
