Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,451,221.82,224.01,221.36,223.41,8,-2
02/07/2025,568,219.73,221.6,219.06,219.92,3,-8
01/07/2025,549,219.5,221.875,217.93,220.46,2,-12
30/06/2025,306,223.52,223.82,219.12,219.39,1,-7
27/06/2025,644,219.92,223.3,216.74,223.3,3,-1
26/06/2025,688,213.12,218.035,212.01,217.12,8,-1
25/06/2025,646,214.615,216.03,211.11,211.99,6,-4
24/06/2025,606,212.135,214.34,211.045,212.77,8,-1
23/06/2025,314,209.79,210.39,207.31,208.47,0,-3
20/06/2025,425,214.68,214.89,208.271,209.69,1,-10
19/06/2025,623,,,,,2,-2
18/06/2025,760,215.09,217.96,212.34,212.52,0,-7
17/06/2025,501,215.195,217.41,214.56,214.82,9,-3
16/06/2025,323,212.31,217.06,211.6,216.1,1,0
13/06/2025,395,209.96,214.05,209.62,212.1,3,-5
12/06/2025,352,211.78,213.58,211.33,213.24,0,-5
11/06/2025,368,217.41,218.4,212.89,213.2,5,-1
10/06/2025,467,216.78,217.69,214.15,217.61,5,-2
09/06/2025,198,214.75,217.85,212.88,216.98,0,0
06/06/2025,550,212.4,213.87,210.5,213.57,4,-22
05/06/2025,550,209.55,212.81,207.56,207.91,10,0
04/06/2025,299,206.55,208.18,205.18,207.23,4,-4
03/06/2025,272,207.105,208.947,205.03,205.71,3,-4
02/06/2025,203,204.98,207,202.68,206.65,5,-1
30/05/2025,411,204.84,205.99,201.695,205.01,3,-3
29/05/2025,324,208.025,208.81,204.23,205.7,2,-1
28/05/2025,212,205.915,207.66,204.41,204.72,4,-2
27/05/2025,184,203.085,206.69,202.19,206.02,0,0
26/05/2025,147,,,,,1,-2
23/05/2025,429,198.9,202.37,197.85,200.99,13,-7
22/05/2025,564,201.38,205.76,200.16,203.1,5,-6
21/05/2025,271,201.61,203.455,200.06,201.12,0,-14
20/05/2025,270,204.628,205.59,202.65,204.07,5,-2
19/05/2025,204,201.645,206.62,201.26,206.16,3,-1
16/05/2025,374,206.85,206.85,204.374,205.59,0,-4
15/05/2025,383,206.45,206.88,202.673,205.17,0,-1
14/05/2025,409,211.45,211.93,208.85,210.25,11,-3
13/05/2025,529,211.08,214.84,210.1,211.37,40,-4
12/05/2025,185,210.71,211.66,205.75,208.64,8,0
09/05/2025,314,193.375,194.69,191.16,193.06,5,-3
08/05/2025,578,191.43,194.33,188.82,192.08,5,-3
07/05/2025,454,185.56,190.99,185.01,188.71,3,-5
06/05/2025,326,184.57,187.93,183.85,185.01,3,-4
05/05/2025,224,186.51,188.18,185.53,186.35,3,-3
02/05/2025,1215,191.435,192.88,186.4,189.98,81,-86
01/05/2025,499,190.63,191.807,187.5,190.2,7,-17
30/04/2025,1832,182.17,185.05,178.85,184.42,2,-71
29/04/2025,704,183.99,188.016,183.68,187.39,0,-14
28/04/2025,258,190.105,190.22,184.885,187.7,2,-2
25/04/2025,401,187.62,189.94,185.49,188.99,5,-10
24/04/2025,326,180.915,186.74,180.18,186.54,16,-6
23/04/2025,369,183.45,187.38,180.19,180.6,10,-11
22/04/2025,432,169.845,176.78,169.35,173.18,1,-31
21/04/2025,201,169.6,169.6,165.285,167.32,1,-3
18/04/2025,251,,,,,0,-3
17/04/2025,257,176,176.21,172,172.61,0,-7
16/04/2025,306,176.29,179.105,171.41,174.33,0,-10
15/04/2025,501,181.41,182.35,177.933,179.59,0,-7
14/04/2025,271,186.84,187.44,179.23,182.12,0,-1
11/04/2025,766,179.93,185.86,178,184.87,3,-16
10/04/2025,609,185.44,186.869,175.852,181.22,7,-17
09/04/2025,399,172.115,192.65,169.93,191.1,3,-7
08/04/2025,402,185.23,185.9,168.57,170.66,5,-2
07/04/2025,235,162,183.41,161.38,175.26,0,-1
04/04/2025,559,167.145,178.144,166,171,3,-25
03/04/2025,941,182.995,184.13,176.92,178.41,36,-10
02/04/2025,320,187.66,198.34,187.66,196.01,1,-7
01/04/2025,452,187.86,193.93,187.2,192.17,1,-14
31/03/2025,276,188.19,191.33,184.4,190.26,1,0
28/03/2025,362,198.42,199.26,191.881,192.72,5,-7
27/03/2025,443,200.89,203.79,199.282,201.36,1,-10
26/03/2025,388,205.835,206.01,199.925,201.13,7,-6
25/03/2025,344,203.595,206.21,203.22,205.71,12,-1
24/03/2025,201,200,203.64,199.95,203.26,0,-1
21/03/2025,330,192.9,196.99,192.52,196.21,0,-12
20/03/2025,322,193.07,199.32,192.3,194.95,6,-21
19/03/2025,404,193.38,195.965,191.96,195.54,0,-18
18/03/2025,362,192.52,194,189.38,192.82,1,-9
17/03/2025,196,198.77,199,194.325,195.74,4,-3
14/03/2025,287,197.41,198.65,195.32,197.95,1,-7
13/03/2025,394,198.165,198.88,191.82,193.89,4,-15
12/03/2025,273,200.72,201.52,195.29,198.89,3,-6
11/03/2025,379,193.9,200.18,193.4,196.59,2,-11
10/03/2025,245,195.6,196.73,190.85,194.54,2,-3
07/03/2025,335,199.49,202.265,192.53,199.25,2,-12
06/03/2025,337,204.4,205.77,198.301,200.7,2,-4
05/03/2025,378,204.8,209.98,203.26,208.36,4,-5
04/03/2025,361,200.11,206.8,197.432,203.8,1,-6
03/03/2025,240,213.352,214.01,202.55,205.02,1,-1
28/02/2025,757,208.65,212.62,206.99,212.28,0,-11
27/02/2025,879,218.35,219.97,208.37,208.74,15,-24
26/02/2025,403,214.94,218.16,213.09,214.35,4,-17
25/02/2025,318,211.63,213.34,204.16,212.8,1,-9
24/02/2025,184,217.45,217.715,212.42,212.71,1,-2
21/02/2025,674,223.28,223.31,214.74,216.58,16,-6
20/02/2025,303,224.775,225.13,221.81,222.88,5,-3
19/02/2025,261,225.52,226.83,223.71,226.63,4,-4
18/02/2025,268,228.82,229.3,223.72,226.65,2,-2
17/02/2025,139,,,,,1,-4
14/02/2025,356,229.2,229.89,227.23,228.68,4,-2
13/02/2025,337,228.85,230.42,227.52,230.37,5,-5
12/02/2025,372,230.46,231.18,228.16,228.93,2,-6
11/02/2025,336,231.92,233.44,230.13,232.76,7,-4
10/02/2025,283,230.545,233.92,229.2,233.14,1,-2
07/02/2025,1658,232.5,234.81,228.06,229.15,116,-109
06/02/2025,449,238.01,239.66,236.01,238.83,9,-11
05/02/2025,429,237.02,238.32,235.2,236.17,6,-8
04/02/2025,281,239.01,242.52,238.03,242.06,3,-2
03/02/2025,245,234.06,239.25,232.9,237.42,1,-3
31/01/2025,495,236.5,240.29,236.41,237.68,6,-39
30/01/2025,370,237.14,237.95,232.22,234.64,5,-23
29/01/2025,321,239.015,240.39,236.15,237.07,7,-9
28/01/2025,391,234.29,241.77,233.98,238.15,0,-4
27/01/2025,168,226.21,235.61,225.86,235.42,1,-2
24/01/2025,360,234.5,236.4,232.93,234.85,1,-2
23/01/2025,504,234.1,235.52,231.51,235.42,3,-2
22/01/2025,309,232.02,235.44,231.19,235.01,4,-2
21/01/2025,391,228.9,231.78,226.94,230.71,3,0
20/01/2025,236,,,,,0,0
17/01/2025,478,225.84,226.51,223.08,225.94,2,-3
16/01/2025,531,224.42,224.65,220.31,220.66,0,-1
15/01/2025,578,222.83,223.57,220.75,223.35,5,-6
14/01/2025,551,220.44,221.82,216.2,217.76,4,-5
13/01/2025,300,218.06,219.4,216.47,218.46,1,0
10/01/2025,328,221.46,221.71,216.5,218.94,4,0
09/01/2025,308,,,,,9,-1
08/01/2025,554,223.185,223.52,220.2,222.13,3,-9
07/01/2025,418,227.9,228.381,221.46,222.11,10,-3
06/01/2025,278,226.78,228.835,224.84,227.61,2,-6
03/01/2025,247,222.505,225.36,221.62,224.19,2,-6
02/01/2025,133,222.03,225.15,218.19,220.22,2,0
01/01/2025,123,,,,,2,-7
31/12/2024,192,222.965,223.23,218.94,219.39,4,-5
30/12/2024,128,220.06,222.997,218.43,221.3,1,0
27/12/2024,228,225.6,226.03,220.9,223.75,2,-12
26/12/2024,132,228.5,228.5,226.671,227.05,1,0
25/12/2024,174,,,,,10,0
24/12/2024,296,226.94,229.14,226.13,229.05,3,-2
23/12/2024,257,225.01,226.88,223.9,225.06,1,-1
20/12/2024,743,219.84,226.21,218.73,224.92,8,-17
19/12/2024,620,224.91,226.09,222.92,223.29,3,-14
18/12/2024,602,230.77,231.4,220.11,220.52,3,-13
17/12/2024,422,232.39,232.73,227.85,231.15,7,-22
16/12/2024,249,230.23,233,228.01,232.93,0,-2
13/12/2024,550,228.4,230.2,225.861,227.46,5,-13
12/12/2024,386,229.83,231.09,227.63,228.97,8,-4
11/12/2024,453,226.41,231.2,226.26,230.26,6,-8
10/12/2024,513,226.09,229.06,224.2,225.04,7,-8
09/12/2024,318,227.21,230.08,225.67,226.09,3,-11
06/12/2024,531,220.75,227.15,220.6,227.03,7,-10
05/12/2024,795,218.03,222.15,217.3,220.55,18,-32
04/12/2024,1040,215.96,220,215.75,218.16,12,-3
03/12/2024,536,210.31,214.02,209.65,213.44,7,-5
02/12/2024,322,209.96,212.99,209.51,210.71,0,-5
29/11/2024,348,205.83,208.2,204.59,207.89,5,-8
28/11/2024,364,,,,,1,-22
27/11/2024,585,206.98,207.64,205.05,205.74,17,-26
26/11/2024,524,201.9,208,201.79,207.86,15,-36
25/11/2024,301,199.28,201.95,199,201.45,0,0
22/11/2024,440,198.25,199.26,196.75,197.12,0,-19
21/11/2024,327,203.49,203.49,195.75,198.38,3,-11
20/11/2024,326,202.98,203.13,199.45,202.88,8,0
19/11/2024,316,199.33,205.3,198.78,204.61,1,-11
18/11/2024,287,204.15,204.67,200.95,201.7,1,-1
15/11/2024,526,206.76,207.34,199.61,202.61,1,-9
14/11/2024,576,214.16,215.9,210.88,211.48,10,-1
13/11/2024,482,209.4,215.09,209.14,214.1,7,-3
12/11/2024,394,208.37,209.54,206.01,208.91,1,-17
11/11/2024,233,208.5,209.65,205.59,206.84,1,-15
08/11/2024,491,209.72,209.963,207.44,208.18,9,-10
07/11/2024,494,207.44,212.25,207.19,210.05,12,-19
06/11/2024,445,200.01,207.55,199.14,207.09,14,0
05/11/2024,468,196.04,199.82,195.99,199.5,1,-7
04/11/2024,345,196.45,197.33,194.31,195.78,14,-2
01/11/2024,1357,199,200.5,197.02,197.93,191,-18
31/10/2024,389,190.51,190.6,185.23,186.4,9,-11
30/10/2024,441,194.695,195.61,192.42,192.73,13,-7
29/10/2024,414,188.58,191.46,187.815,190.83,8,-4
28/10/2024,244,189.565,190.21,188.21,188.39,2,-1
25/10/2024,282,187.85,190.45,187.53,187.83,2,0
24/10/2024,304,185.25,187.11,183.86,186.38,1,-6
23/10/2024,389,188.85,189.16,183.69,184.71,2,-2
22/10/2024,333,188.35,191.52,186.975,189.7,4,-4
21/10/2024,224,188.05,189.46,186.4,189.07,2,-3
18/10/2024,564,187.15,190.74,186.28,188.99,6,-4
17/10/2024,959,188.22,188.94,186,187.53,11,-6
16/10/2024,454,187.05,187.78,185.61,186.89,2,-3
15/10/2024,289,187.63,188.41,184.58,187.69,2,-4
14/10/2024,206,189.78,189.83,187.36,187.54,1,-4
11/10/2024,380,186.63,189.928,186.3,188.82,9,-3
10/10/2024,527,187.13,188.134,185.83,186.65,4,-4
09/10/2024,355,182.82,185.845,182.05,185.17,3,-5
08/10/2024,575,181.915,183.09,180.92,182.72,2,-55
07/10/2024,220,182.95,183.6,180.25,180.8,1,-3
04/10/2024,394,185.75,187.6,183.6,186.51,2,-13
03/10/2024,331,183.045,183.44,180.875,181.96,2,-13
02/10/2024,343,184.44,186.6,184.04,184.76,4,-13
01/10/2024,355,184.9,186.19,183.452,185.13,3,-15
30/09/2024,167,187.14,188.49,184.65,186.33,1,-3
27/09/2024,342,190.68,190.9,187.34,187.97,0,-20
26/09/2024,428,194.31,194.53,189.54,191.16,1,-9
25/09/2024,318,193.75,193.95,192.16,192.53,7,-1
24/09/2024,327,194.27,195.37,190.13,193.96,6,-2
23/09/2024,192,191.64,194.45,190.57,193.88,0,-2
20/09/2024,402,190.23,191.84,187.41,191.6,7,-6
19/09/2024,429,190.04,190.99,188.47,189.87,5,-16
18/09/2024,657,186.45,188.8,185.06,186.43,22,-3
17/09/2024,1030,186.85,189.45,186.14,186.88,8,-11
16/09/2024,153,185.29,185.81,183.36,184.89,1,-11
13/09/2024,417,187,188.5,185.91,186.49,11,-29
12/09/2024,325,184.8,187.41,183.54,187,4,-1
11/09/2024,496,180.095,184.99,175.73,184.52,13,0
10/09/2024,367,177.49,180.5,176.79,179.55,12,-1
09/09/2024,147,174.53,175.85,173.51,175.4,0,0
06/09/2024,342,177.24,178.38,171.16,171.39,11,-3
05/09/2024,322,175,179.875,174.995,177.89,1,-8
04/09/2024,261,174.48,175.98,172.54,173.33,2,-3
03/09/2024,221,177.55,178.26,175.26,176.25,4,0
02/09/2024,172,,,,,1,0
30/08/2024,379,172.78,178.9,172.6,178.5,8,-6
29/08/2024,354,173.22,174.29,170.81,172.12,1,-3
28/08/2024,337,173.69,173.69,168.92,170.8,1,-7
27/08/2024,276,174.15,174.89,172.25,173.12,1,-4
26/08/2024,216,176.7,177.468,174.3,175.5,0,0
23/08/2024,377,177.34,178.97,175.24,177.04,3,-37
22/08/2024,317,181.38,181.47,175.68,176.13,10,-2
21/08/2024,311,179.92,182.385,178.894,180.11,2,-9
20/08/2024,253,177.92,179.01,177.431,178.88,4,-1
19/08/2024,201,177.64,178.3,176.16,178.22,1,-2
16/08/2024,391,177.04,178.34,176.26,177.06,11,-7
15/08/2024,333,174.86,177.91,173.99,177.59,0,-9
14/08/2024,316,172.11,172.28,168.86,170.1,8,-2
13/08/2024,298,167.81,171.04,167.1,170.23,1,-6
12/08/2024,194,168.14,168.55,166.11,166.8,1,-2
09/08/2024,434,166.4,168.55,165.85,166.94,12,-11
08/08/2024,401,165.165,166.69,162.55,165.8,9,-8
