Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,169,203,203.51,200.18,200.94,0,-12
6/23/25,137,197.825,202.2,197.47,201.31,0,-2
6/20/25,305,198.66,200.675,197.45,198.75,0,-8
6/19/25,405,,,,,0,-23
6/18/25,471,199,201.06,196.8,197.68,2,-7
6/17/25,634,201.31,205.31,198.87,200.26,0,-6
6/16/25,859,200.57,204,199.08,201.7,0,-10
6/13/25,4157,200.675,202.23,195.28,200.32,0,-328
6/12/25,1418,202.17,206.34,201.28,203.75,1,-102
6/11/25,296,215.5,216.205,212.21,214,5,-1
6/10/25,189,217.58,217.9,213.251,215.73,9,0
6/9/25,207,211.23,218.8,211.09,217.51,0,0
6/6/25,206,210.24,211.11,208.04,210.8,1,-3
6/5/25,309,212.5,212.99,208.22,209.02,5,-5
6/4/25,167,214.77,214.99,211.03,211.98,4,-3
6/3/25,262,212,215.8,211.77,213.43,14,-4
6/2/25,155,210.98,212.341,207.9,211.47,8,0
5/30/25,403,206.77,207.7,204.35,207.32,24,-27
5/29/25,147,201.775,212.28,201.5,208.18,0,-1
5/28/25,110,201.95,202.45,200.215,201.5,0,-5
5/27/25,117,204.28,205,200.88,201.03,1,-4
5/26/25,97,,,,,0,-4
5/23/25,170,199.95,203.2,198.75,202.36,0,-5
5/22/25,540,202.53,204.73,201.85,203.41,2,-3
5/21/25,187,206.6,207.12,202.43,203.21,1,-3
5/20/25,221,205,208.62,205,207.67,0,-6
5/19/25,207,203,205.6,202.3,205.25,1,-11
5/16/25,416,205.69,206.24,203.02,205.82,9,-1
5/15/25,1290,207.35,208.6,205.42,206.24,37,-5
5/14/25,662,205.8,209.66,204.05,204.72,10,-3
5/13/25,705,200.295,205.73,199.67,203.42,7,-7
5/12/25,493,198.16,198.78,193.06,198.53,0,-1
5/9/25,636,193.55,195.3,192.18,194.85,22,-1
5/8/25,290,186.76,194.75,186.22,191.7,0,-3
5/7/25,240,185,186.72,183.5,185.56,0,-6
5/6/25,123,184.71,186.2,183.63,185.96,1,0
5/5/25,99,184.39,187.58,184.39,186.46,0,-1
5/2/25,200,185,187.58,184.08,185.46,1,-1
5/1/25,147,182.85,184.75,182.03,182.89,0,0
4/30/25,203,178.47,183.79,177.63,183.24,0,-2
4/29/25,703,182.52,184.25,181.2,182,20,-7
4/28/25,261,182.75,184.53,180.75,182.3,0,-1
4/25/25,551,176.5,180.325,175.86,177.95,8,-4
4/24/25,1156,171.2,177.4,169,176.26,44,-51
4/23/25,616,174,176.58,169.91,172.37,16,-22
4/22/25,389,162.5,163.09,158.5,162.52,0,-11
4/21/25,425,160,160,156.47,159.34,0,-9
4/18/25,266,,,,,3,0
4/17/25,328,157.13,163.9,157,161.9,1,-6
4/16/25,1077,154.365,157.659,153.545,156.47,0,-93
4/15/25,408,155.275,159.12,155.275,155.52,0,-33
4/14/25,84,159.82,162.55,157.6,159.28,0,-1
4/11/25,135,154.62,157.59,152,156.84,0,-3
4/10/25,329,154.98,157.345,149.41,155.52,7,-2
4/9/25,249,138.845,162.43,137.943,160.82,14,-3
4/8/25,238,146.85,147.77,137.4,139.39,0,-18
4/7/25,126,132.05,143.972,128.88,138.86,0,-9
4/4/25,279,143.3,146,132.79,136.59,0,-4
4/3/25,256,160,160.21,150.41,150.91,0,-14
4/2/25,249,166.4,170.38,165.55,168.56,0,-14
4/1/25,299,170,170.975,164.219,168.17,0,-4
3/31/25,194,170.65,172.21,166.792,170.55,0,-1
3/28/25,203,177.75,178.5,172.45,173.31,3,-4
3/27/25,223,178.53,182.22,178.033,179.11,0,-12
3/26/25,396,182.525,183.228,177.28,178.55,3,-29
3/25/25,471,182.16,183.85,180.36,182.59,10,-22
3/24/25,300,182.03,184.4,180.441,180.9,4,-2
3/21/25,335,172.06,183.46,170.77,178.11,0,-21
3/20/25,512,171.14,173.1,170.31,172.83,47,-6
3/19/25,453,165.32,174.2,165,172.62,0,0
3/18/25,245,161.44,162.23,158.79,161.57,1,-1
3/17/25,200,160.5,162.77,159.624,161.85,0,-5
3/14/25,288,160.915,162.32,159.2,161.81,1,-4
3/13/25,182,159.22,161.74,157.25,159.32,3,-9
3/12/25,244,157,159.54,153.611,158.8,6,-4
3/11/25,96,148,155.01,145.45,154.06,0,-3
3/10/25,92,150.03,150.39,146.3,148.15,0,-2
3/7/25,127,157.19,158.36,149.05,154.18,0,-7
3/6/25,130,161.42,162.69,157.94,158.43,5,0
3/5/25,143,159.96,164.33,158.81,163.16,0,-18
3/4/25,102,167.37,168.38,156.69,158.9,0,-5
3/3/25,134,177.02,178.4,169.46,170.06,0,-1
2/28/25,111,174.36,176.3,173.481,174.63,0,-2
2/27/25,175,174.52,177.15,173.59,173.83,0,-5
2/26/25,256,179.49,179.49,171.83,173.04,0,0
2/25/25,302,180.45,181.88,176.34,178.27,3,0
2/24/25,178,177.475,183.04,176.55,179.91,0,0
2/21/25,366,181.28,182.2,174.71,177.15,0,-16
2/20/25,361,185.58,185.8,180.11,180.88,5,-15
2/19/25,134,185.31,187.23,181.83,186.15,0,-1
2/18/25,204,185.68,188.66,184.22,184.97,0,-2
2/17/25,111,,,,,0,0
2/14/25,232,186.75,186.82,183.575,184.42,0,-1
2/13/25,209,187,188.24,185.09,185.44,1,0
2/12/25,293,178.34,186.27,178.25,186.25,2,0
2/11/25,158,179.78,182.14,177.6,180.44,2,-2
2/10/25,153,183.12,183.55,179.9,180.55,0,-2
2/7/25,162,185.26,186.109,180.93,181.49,1,-3
2/6/25,175,182,185.85,182,184.8,0,0
2/5/25,145,176,181.86,175.505,181.84,0,-8
2/4/25,122,176.9,177.45,174.25,176.23,0,-8
2/3/25,131,174.11,178.2,173.128,175.87,0,0
1/31/25,195,180.51,181.78,175.74,176.52,0,-1
1/30/25,308,174.59,179.94,173.722,179.53,3,-12
1/29/25,847,179.125,182.55,170.65,173.66,20,-94
1/28/25,438,181.31,188.48,174.02,177.78,0,-56
1/27/25,241,175.55,178.18,174.4,175.16,0,-6
1/24/25,563,176,180.43,174.365,176.06,2,-89
1/23/25,128,174.01,178.67,173.75,178.5,0,-1
1/22/25,103,175.29,176.23,173.88,174.8,3,0
1/21/25,114,172.38,177.09,171.932,175.56,1,0
1/20/25,103,,,,,0,-1
1/17/25,178,169.795,171.77,169.45,171.09,0,-2
1/16/25,169,166.79,170.64,166.57,168.93,0,-3
1/15/25,406,169.01,169.99,165.97,166.2,2,-35
1/14/25,99,171.37,171.88,164.62,167.02,0,-2
1/13/25,125,171.18,172.5,167.91,170.57,0,-2
1/10/25,262,171.49,173.535,167.41,172,0,-1
1/9/25,197,,,,,1,-2
1/8/25,242,171.15,173.78,169.61,171.76,0,-2
1/7/25,291,171.165,175.02,170.8,172.51,7,-3
1/6/25,244,173.5,173.944,170.19,170.78,2,-5
1/3/25,425,171.4,173.98,169.8,169.9,2,-17
1/2/25,341,178.31,179.19,169.82,171.87,0,-1
1/1/25,423,,,,,0,-8
12/31/24,1129,177.54,179.35,175.82,177,0,-91
12/30/24,2049,173.72,178.17,170.15,176.55,0,-48
12/27/24,120,180.01,181.43,179.4,180.72,2,-1
12/26/24,91,178.98,182.57,178.33,180.38,0,-2
12/25/24,60,,,,,1,0
12/24/24,100,177.69,180.95,177.5,179.34,2,0
12/23/24,89,178.12,179.65,174.29,177.69,0,-1
12/20/24,362,176.86,182,175.31,177.35,19,0
12/19/24,257,175,179.579,173.72,177.04,0,-1
12/18/24,354,173.28,177.94,171.002,172.62,1,-3
12/17/24,133,173.04,175.787,171.71,173.03,1,-4
12/16/24,107,168.09,175.2,166.1,173.17,0,-5
12/13/24,237,168,170.43,166.33,169.65,2,-5
12/12/24,148,168.23,168.82,165.65,167.75,4,-1
12/11/24,410,165.52,169.3,164.381,165.96,14,-8
12/10/24,304,160,166.68,159.42,164.1,2,-8
12/9/24,102,154.27,161.95,154.27,157.04,0,-4
12/6/24,485,157.03,158.953,153.37,153.93,0,-57
12/5/24,144,158.5,160.02,156.048,156.67,2,-1
12/4/24,100,155.88,160.2,154.21,158.28,0,-4
12/3/24,104,156,156.649,154.42,155,1,-1
