Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,622,178.5,179.67,177.05,179.53,5,-20
02/07/2025,645,175.54,178.86,175.07,178.64,4,-27
01/07/2025,654,175.735,176.09,173.53,175.84,1,-4
30/06/2025,328,180.78,181.23,174.58,176.23,1,-2
27/06/2025,628,173.54,178.68,171.73,178.53,3,-6
26/06/2025,827,172.43,173.69,169.94,173.54,6,-8
25/06/2025,811,167.63,172.36,167.55,170.68,4,-2
24/06/2025,723,166.92,168.22,166.13,166.77,5,-14
23/06/2025,276,166.27,167.34,162,165.19,0,-5
20/06/2025,696,173.945,174.34,165.46,166.64,2,-37
19/06/2025,846,,,,,1,-36
18/06/2025,627,176.01,176.56,173.2,173.32,0,-10
17/06/2025,479,175.7,177.365,174.58,175.95,0,-5
16/06/2025,339,174.73,176.94,174.65,176.77,1,-2
13/06/2025,844,172.44,177.13,172.385,174.67,2,-38
12/06/2025,788,176.18,176.72,174.745,175.7,6,-4
11/06/2025,1058,179.77,180.37,176.75,177.35,14,-10
10/06/2025,647,176.2,181.105,174.91,178.6,9,-6
09/06/2025,309,174.54,176.47,174.37,176.09,1,-3
06/06/2025,503,170.83,174.5,170.83,173.68,2,-3
05/06/2025,604,170.34,170.93,167.59,168.21,3,-2
04/06/2025,604,166.735,168.215,166.36,168.05,3,-17
03/06/2025,645,167.49,168.475,165.28,166.18,2,-25
02/06/2025,363,167.84,169.87,167.39,169.03,2,-2
30/05/2025,642,171.35,172.205,167.44,171.74,0,-10
29/05/2025,548,174,174.419,170.63,171.86,1,-13
28/05/2025,460,173.16,175.265,171.911,172.36,2,-14
27/05/2025,582,170.16,173.17,170,172.9,0,-2
26/05/2025,397,,,,,2,-3
23/05/2025,949,169.055,169.96,167.89,168.47,21,-34
22/05/2025,1470,171.85,176.77,170.71,170.87,37,-16
21/05/2025,2612,163.69,173.14,163.56,168.56,9,-34
20/05/2025,591,166.43,168.5,162.9,163.98,2,-6
19/05/2025,289,164.51,166.64,164.22,166.54,1,-4
16/05/2025,610,167.725,169.35,165.62,166.19,2,-4
15/05/2025,766,165.84,166.205,162.373,163.96,2,-8
14/05/2025,878,159.96,167,159.61,165.37,0,-24
13/05/2025,745,158.79,160.57,156.16,159.53,4,-32
12/05/2025,410,157.485,159.1,156.25,158.46,1,-22
