Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,381,726.61,729.03,714.42,719.01,9,-11
02/07/2025,400,715.325,720.3,712.8,713.57,5,-7
01/07/2025,536,736.875,737.75,715.37,719.22,16,-5
30/06/2025,321,744.55,747.9,734.25,738.09,1,-4
27/06/2025,580,726.515,735.43,725.86,733.63,9,-13
26/06/2025,540,714.355,728.22,711.05,726.09,6,-29
25/06/2025,394,713.315,716.58,705.38,708.68,8,-8
24/06/2025,473,704.885,713.19,702.11,712.2,2,-2
23/06/2025,199,683.69,699.05,678.75,698.53,3,-3
20/06/2025,330,700.75,701.82,678.67,682.35,10,-3
19/06/2025,597,,,,,4,-10
18/06/2025,742,698.18,701.59,694.9,695.77,3,-6
17/06/2025,1028,702,705.97,696.06,697.23,30,-6
16/06/2025,236,699.33,707.15,693.51,702.12,3,-3
13/06/2025,531,687.95,694.57,681.01,682.87,2,-27
12/06/2025,547,693.3,695.38,687,693.36,3,-21
11/06/2025,483,703.705,708.871,691.99,694.14,5,-1
10/06/2025,359,701.345,703.23,691.56,702.4,3,-1
09/06/2025,286,698.46,705.19,693.94,694.06,2,-1
06/06/2025,255,696.17,702.806,691.87,697.71,0,-6
05/06/2025,441,691.66,694.38,682.25,684.62,9,-23
04/06/2025,646,669.32,689,668.57,687.95,10,-9
03/06/2025,422,671.445,675.58,665.03,666.85,12,-9
02/06/2025,192,644.39,673.26,644.262,670.9,0,-2
30/05/2025,431,642.5,649.41,632.78,647.49,6,-6
29/05/2025,375,651.645,653.32,639.5,645.05,3,-7
28/05/2025,358,642.6,650.88,642.547,643.58,2,-6
27/05/2025,297,635.41,643.08,632.75,642.32,0,-2
26/05/2025,155,,,,,0,-6
23/05/2025,250,624,632.445,622.65,627.06,2,-9
22/05/2025,282,634.05,643.25,630.71,636.57,2,-9
21/05/2025,251,631.79,646.61,630.17,635.5,1,-5
20/05/2025,260,636.01,639.354,632.26,637.1,2,-2
19/05/2025,139,628.25,643,627.8,640.43,1,-7
16/05/2025,545,637.955,640.44,626.15,640.34,3,-20
15/05/2025,268,654.275,657.31,638.58,643.88,1,-6
14/05/2025,302,661.21,662.67,654.31,659.36,4,-7
13/05/2025,358,645.545,660.92,642.83,656.03,12,-5
12/05/2025,179,630.92,640.39,621.03,639.43,4,-3
09/05/2025,437,603.72,606.97,591.706,592.49,1,-8
08/05/2025,434,606.285,611.296,596.62,598.01,2,-20
07/05/2025,495,590.36,603.075,586.67,596.81,2,-47
06/05/2025,402,592.525,596.03,586.58,587.31,5,-9
05/05/2025,243,591.22,603.21,588.05,599.27,0,-17
02/05/2025,1212,583.455,604.34,578.33,597.02,166,-13
01/05/2025,1580,592.075,592.95,570.5,572.21,174,-58
30/04/2025,970,538.4,549.1,529.5,549,3,-19
29/04/2025,492,546,556.57,544.12,554.44,3,-11
28/04/2025,379,555.64,558.49,540.59,549.74,4,-16
25/04/2025,645,546.8,549.86,536.25,547.27,5,-37
24/04/2025,1407,518.73,533.9,517.5,533.15,4,-183
23/04/2025,1210,528.525,535.338,516.52,520.27,3,-120
22/04/2025,376,491.87,506.88,486.36,500.28,1,-11
21/04/2025,291,491.325,493.5,479.8,484.66,0,-2
18/04/2025,417,,,,,1,-15
17/04/2025,612,505.25,507.3,498.013,501.48,0,-25
16/04/2025,936,508.51,513.37,495.63,502.31,1,-61
15/04/2025,1354,532.105,537.94,517.5,521.52,1,-93
14/04/2025,477,556.175,557.77,528.28,531.48,0,-27
11/04/2025,466,535.505,547.4,528.59,543.57,0,-18
10/04/2025,470,575.49,581.3,535.3,546.29,7,-14
09/04/2025,608,509.265,587.89,502.11,585.77,1,-8
08/04/2025,587,543.25,547.43,502.86,510.45,2,-4
07/04/2025,417,485.1,539.37,481.9,516.25,1,-5
04/04/2025,552,506.62,518,494.2,504.73,0,-35
03/04/2025,638,546.22,552.56,530.3,531.62,5,-31
02/04/2025,653,574.91,592.66,573.36,583.93,1,-23
01/04/2025,376,570.84,589.91,570,586,1,-15
31/03/2025,248,563.5,578.7,553.3,576.36,1,-13
28/03/2025,490,600.31,601.75,573.92,576.74,2,-10
27/03/2025,412,602,614.25,600.1,602.58,1,-24
26/03/2025,331,624.89,626.75,606.61,610.98,1,-9
25/03/2025,377,626.76,633.88,621.18,626.31,7,-7
24/03/2025,271,614.97,622.54,612.2,618.85,1,-2
21/03/2025,427,583.425,597.545,580.95,596.25,4,-9
20/03/2025,533,582.755,610.2,579.51,586,2,-10
19/03/2025,512,584.28,592.322,574.77,584.06,4,-37
18/03/2025,320,600.05,600.25,574.66,582.36,0,-12
17/03/2025,207,607.46,613.1,598,604.9,0,-5
14/03/2025,532,602.805,608.86,594.78,607.6,0,-27
13/03/2025,514,620.245,620.5,586.51,590.64,2,-27
12/03/2025,446,629.9,633.33,609.35,619.56,1,-13
11/03/2025,477,595.055,614.934,593.33,605.71,3,-32
10/03/2025,215,608.07,610.106,586.87,597.99,0,-5
07/03/2025,344,625.37,634.79,600.61,625.66,0,-5
06/03/2025,340,648,650.562,624.11,627.93,2,-3
05/03/2025,393,641,659.5,637.66,656.47,2,-8
04/03/2025,270,645.51,649.75,623.65,640,1,-6
03/03/2025,179,673.675,681.25,650.844,655.05,0,-4
28/02/2025,813,658.04,669.63,642.602,668.2,3,-21
