Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,649,488.95,491.849,486.795,490.11,8,-1
6/23/25,375,478.21,487.75,472.51,486,1,-2
6/20/25,724,482.23,483.46,476.87,477.4,0,-4
6/19/25,1010,,,,,1,-4
6/18/25,778,478,481,474.46,480.24,3,-6
6/17/25,849,475.395,478.7399,474.08,478.04,0,-6
6/16/25,484,475.21,480.6943,475,479.14,1,-2
6/13/25,595,476.41,479.18,472.76,474.96,8,-6
6/12/25,781,475.02,480.415,473.52,478.87,7,-1
6/11/25,955,470.02,475.47,469.655,472.62,7,-4
6/10/25,906,471.185,472.8,466.96,470.92,6,-4
6/9/25,689,469.7,473.43,468.62,472.75,2,-1
6/6/25,765,470.085,473.335,468.78,470.38,21,-2
6/5/25,868,464.955,469.65,464.03,467.68,9,-1
6/4/25,1152,464,465.69,463.0201,463.87,15,-12
6/3/25,1022,461.47,464.14,460.8622,462.97,3,-13
6/2/25,409,457.14,462.11,456.89,461.97,3,-6
5/30/25,696,459.715,461.68,455.54,460.36,7,-12
5/29/25,786,461.55,461.72,455.3105,458.68,7,-4
5/28/25,640,461.22,462.52,456.93,457.36,3,-2
5/27/25,750,456.48,460.95,456.115,460.69,0,-7
5/26/25,483,,,,,1,0
5/23/25,918,449.98,453.69,448.91,450.18,5,-11
5/22/25,1256,454.95,460.25,453.9,454.86,1,-15
5/21/25,950,454.57,457.78,451.814,452.57,5,-8
5/20/25,1529,455.59,458.34,454.3201,458.17,6,-1
5/19/25,631,450.875,459.585,450.8,458.87,3,-1
5/16/25,967,452.05,454.36,448.73,454.27,6,-13
5/15/25,918,450.765,456.19,450.4301,453.13,7,-16
5/14/25,1536,448.14,453.9,448.14,452.94,20,-22
5/13/25,884,447.78,450.6733,445.36,449.14,10,-4
5/12/25,743,445.94,449.37,439.78,449.26,2,-1
5/9/25,1436,440,440.74,435.88,438.73,4,0
5/8/25,1100,437.93,443.67,435.66,438.17,12,-2
5/7/25,1277,433.84,438.12,431.1103,433.35,11,-15
5/6/25,1205,432.2,437.73,431.17,433.31,10,-1
5/5/25,599,432.87,439.5,432.11,436.17,6,-5
5/2/25,1854,431.74,439.44,429.985,435.28,252,-12
5/1/25,1699,431.11,436.99,424.9,425.4,278,-25
4/30/25,878,390.3,396.66,384.44,395.26,4,-4
4/29/25,712,391.3,395.1,390.38,394.04,7,-6
4/28/25,494,391.955,392.74,386.638,391.16,1,-3
4/25/25,626,387,392.16,384.6,391.85,6,-1
4/24/25,599,375.695,388.45,375.19,387.3,2,-3
4/23/25,613,376.06,380.39,373.02,374.39,0,-2
4/22/25,630,363.375,367.77,359.8602,366.82,0,-9
4/21/25,408,362.815,364.48,355.67,359.12,0,-2
4/18/25,522,,,,,1,-11
4/17/25,773,373.745,374.3215,366.89,367.78,1,-13
4/16/25,692,380.67,381.61,368,371.61,1,-2
4/15/25,713,388.505,391.89,384.1599,385.73,2,-3
4/14/25,477,393.22,394.65,384.21,387.81,0,-3
4/11/25,759,380.635,390.05,378.89,388.45,7,-16
4/10/25,939,382.06,383.9,367.8,381.35,14,-12
4/9/25,929,353.535,393.225,353.1,390.49,3,-20
4/8/25,854,368.255,373.65,350.25,354.56,0,-6
4/7/25,761,350.88,370.9999,344.79,357.86,0,-1
4/4/25,843,364.125,374.59,359.48,359.84,1,-21
4/3/25,756,374.785,377.48,369.35,373.11,3,-11
4/2/25,739,377.965,385.08,376.62,382.14,2,-4
4/1/25,863,374.65,382.85,373.23,382.19,4,-11
3/31/25,617,372.535,377.07,367.24,375.39,0,-1
3/28/25,758,388.08,389.13,376.93,378.8,0,-2
3/27/25,1052,390.13,392.24,387.395,390.58,6,-43
3/26/25,754,395,395.31,388.57,389.97,1,-5
3/25/25,676,393.915,396.36,392.64,395.16,3,-3
3/24/25,380,395.4,395.4,389.81,393.08,1,-1
3/21/25,720,383.215,391.74,382.8,391.26,5,-4
3/20/25,892,385.735,391.785,383.28,386.84,0,-2
3/19/25,1091,385.525,389.68,384,387.82,2,-3
3/18/25,741,387.07,387.37,381.1,383.52,4,-6
3/17/25,436,386.7,392.705,385.57,388.7,1,-3
3/14/25,783,379.775,390.23,379.51,388.56,3,-14
3/13/25,847,383.155,385.32,377.45,378.77,3,-23
3/12/25,622,382.95,385.2165,378.9507,383.27,2,-4
3/11/25,772,379,386,376.91,380.45,3,-5
3/10/25,453,385.84,386.4,377.22,380.16,0,0
3/7/25,760,392.32,394.8,385.54,393.31,3,-16
3/6/25,875,394.28,402.15,392.6777,396.89,10,-8
3/5/25,706,389.34,401.67,388.81,401.02,2,-8
3/4/25,796,383.4,392.58,381,388.61,0,-5
3/3/25,519,398.82,398.82,386.155,388.49,2,-2
2/28/25,1211,392.655,397.63,386.57,396.99,1,-12
2/27/25,1024,401.265,405.74,392.17,392.53,3,-2
2/26/25,1091,398.01,403.6,394.245,399.73,1,-14
2/25/25,1375,401.1,401.915,396.7,397.9,0,-45
2/24/25,602,408.51,409.37,399.32,404,2,-4
2/21/25,1115,417.335,418.048,407.89,408.21,11,-3
2/20/25,1417,415.29,419.31,412.54,416.13,9,-1
2/19/25,704,407.88,415.49,407.65,414.77,6,-2
2/18/25,664,408,410.597,406.5,409.64,1,0
2/17/25,543,,,,,0,0
2/14/25,667,407.79,408.91,405.88,408.43,1,-2
2/13/25,688,407,411,406.36,410.54,0,-6
2/12/25,748,407.21,410.75,404.3673,409.04,0,-1
2/11/25,1053,409.64,412.49,409.3,411.44,5,-17
2/10/25,637,413.71,415.4624,410.92,412.22,1,-4
2/7/25,1008,416.48,418.65,408.1,409.75,9,-13
2/6/25,896,414,418.2,414,415.82,9,-10
2/5/25,1008,412.35,413.827,410.4,413.29,8,-7
2/4/25,741,412.685,413.9199,409.74,412.37,3,-3
2/3/25,490,411.6,415.41,408.66,410.92,0,-1
1/31/25,1385,418.98,420.69,414.91,415.06,33,-93
1/30/25,2341,418.77,422.86,413.16,414.99,107,-161
1/29/25,1268,446.69,446.88,440.4,442.33,19,-48
1/28/25,1739,434.6,448.38,431.38,447.2,9,-46
1/27/25,743,424.01,435.2,423.5,434.56,2,-5
1/24/25,853,445.16,446.65,441.4,444.06,4,-2
1/23/25,1113,442,446.75,441.5048,446.71,14,-2
1/22/25,954,437.56,447.27,436,446.2,6,-3
1/21/25,608,430.2,430.8999,425.595,428.5,1,0
1/20/25,408,,,,,1,0
1/17/25,928,434.085,434.48,428.17,429.03,1,-7
1/16/25,1030,428.695,429.49,424.39,424.58,15,-3
1/15/25,966,419.13,428.15,418.265,426.31,7,-12
1/14/25,1061,417.81,419.74,410.72,415.67,0,-11
1/13/25,492,415.235,418.5,412.29,417.19,1,-6
1/10/25,825,424.63,424.71,415.02,418.95,2,-1
1/9/25,749,,,,,7,-2
1/8/25,923,423.46,426.97,421.54,424.56,3,-7
1/7/25,1253,429,430.65,420.8,422.37,31,-1
1/6/25,815,428,434.32,425.4774,427.85,12,-2
1/3/25,506,421.08,424.03,419.54,423.35,2,-4
1/2/25,435,425.53,426.07,414.85,418.58,0,-1
1/1/25,203,,,,,0,-4
12/31/24,472,426.1,426.73,420.66,421.5,1,-5
12/30/24,464,426.06,427.55,421.9,424.83,1,0
12/27/24,586,434.6,435.22,426.35,430.53,1,-9
12/26/24,470,439.08,440.94,436.63,438.11,0,0
12/25/24,369,,,,,7,0
12/24/24,611,434.65,439.6,434.19,439.33,5,-6
12/23/24,420,436.74,437.65,432.83,435.25,4,-1
12/20/24,646,433.11,443.74,428.63,436.6,3,-8
12/19/24,1080,441.62,443.1834,436.32,437.03,7,-11
12/18/24,828,451.32,452.65,437.02,437.39,4,-6
12/17/24,559,451.01,455.29,449.57,454.46,1,-3
12/16/24,463,447.27,452.18,445.28,451.59,0,0
12/13/24,797,448.435,451.43,445.58,447.27,10,-8
12/12/24,953,449.11,456.1648,449.11,449.56,5,-21
12/11/24,1051,444.05,450.35,444.05,448.99,3,-22
12/10/24,768,444.39,449.62,441.6,443.33,6,-8
12/9/24,478,442.6,448.33,440.5,446.02,0,0
12/6/24,820,442.3,446.1,441.7703,443.57,15,-1
12/5/24,699,437.92,444.66,436.171,442.62,9,-9
12/4/24,844,433.03,439.67,432.63,437.42,3,-44
12/3/24,683,429.84,432.47,427.74,431.2,7,-41
12/2/24,636,421.57,433,421.31,430.98,5,-5
11/29/24,545,420.09,424.8849,417.8,423.46,0,-21
11/28/24,1112,,,,,1,-107
11/27/24,549,425.105,427.2299,422.02,422.99,5,-5
11/26/24,839,419.585,429.0414,418.85,427.99,4,-12
11/25/24,671,418.38,421.08,414.85,418.79,1,-9
11/22/24,862,411.365,417.4,411.06,417,3,-12
11/21/24,1230,419.5,419.78,410.2887,412.87,1,-10
11/20/24,1644,416.87,417.29,410.58,415.49,7,-7
11/19/24,736,413.11,417.94,411.55,417.79,1,-5
11/18/24,653,414.87,418.4037,412.1,415.76,1,-3
11/15/24,1025,419.82,422.8,413.64,415,10,-26
11/14/24,926,425,428.17,420,426.89,3,0
11/13/24,706,421.64,429.325,418.21,425.2,15,0
11/12/24,653,418.25,424.44,417.2,423.03,4,-4
11/11/24,410,422.515,424.81,416,418.01,1,-1
11/8/24,627,425.32,426.5,421.78,422.54,10,0
11/7/24,647,421.28,426.85,419.88,425.43,6,-2
11/6/24,690,412.42,420.45,410.52,420.18,10,-3
11/5/24,796,408.37,414.9,408.08,411.46,2,-7
11/4/24,650,409.8,410.415,405.5713,408.46,2,-4
11/1/24,1958,409.01,415.5,407.5,410.37,54,-188
10/31/24,2031,415.36,416.16,406.3,406.35,234,-87
10/30/24,989,437.435,438.5,432.1,432.53,23,-9
10/29/24,980,428,433.17,425.8001,431.95,12,-22
10/28/24,614,431.655,431.94,426.3,426.59,15,-1
10/25/24,905,426.76,432.52,426.565,428.15,30,-9
10/24/24,994,425.325,425.9782,422.4,424.73,4,-9
10/23/24,994,430.855,431.08,422.53,424.6,12,-3
10/22/24,854,418.49,430.5793,418.04,427.51,4,-6
10/21/24,647,416.12,418.96,413.7501,418.78,5,-14
10/18/24,916,417.14,419.65,416.2601,418.16,9,-4
10/17/24,837,422.36,422.5,415.59,416.72,1,-7
10/16/24,867,415.17,416.36,410.48,416.12,5,-9
10/15/24,994,422.18,422.48,415.26,418.74,6,-2
10/14/24,436,417.77,424.04,417.52,419.14,1,-3
10/11/24,783,416.135,417.13,413.25,416.32,0,-15
10/10/24,822,415.225,417.35,413.15,415.84,4,-6
10/9/24,848,415.86,420.38,414.3,417.46,13,-20
10/8/24,657,410.9,415.66,408.17,414.71,3,-7
10/7/24,294,416,417.11,409,409.54,0,-2
10/4/24,702,418.24,419.75,414.97,416.06,1,-11
10/3/24,986,417.63,419.55,414.29,416.54,1,-12
10/2/24,892,422.58,422.82,416.71,417.13,6,-17
10/1/24,713,428.45,428.48,418.81,420.69,5,-9
9/30/24,476,428.21,430.42,425.37,430.3,0,-3
9/27/24,689,431.52,431.85,427.47,428.02,0,-10
9/26/24,1451,435.085,435.3,429.13,431.31,7,-70
9/25/24,922,429.83,433.119,428.57,432.11,2,-8
9/24/24,787,433,433.35,426.1,429.17,2,-19
9/23/24,626,434.28,436.46,430.3889,433.51,2,-5
9/20/24,717,437.22,439.24,434.22,435.27,8,-3
9/19/24,885,441.225,441.5,436.9,438.69,10,-18
9/18/24,1366,435,436.03,430.41,430.81,73,0
9/17/24,911,440.23,441.85,432.27,435.15,68,0
9/16/24,273,430.6,433.53,428.22,431.34,1,-1
9/13/24,1198,425.825,431.83,425.46,430.59,10,-30
9/12/24,842,423.31,427.3692,419.75,427,8,-7
9/11/24,823,415.5,423.99,409.58,423.04,8,-5
9/10/24,648,408.2,416.33,407.7,414.2,5,-4
9/9/24,504,407.24,408.65,402.15,405.72,1,-3
9/6/24,860,409.06,410.65,400.8,401.7,5,-16
9/5/24,867,407.62,413.1,406.13,408.39,2,-8
9/4/24,955,405.91,411.24,404.37,408.9,0,-8
9/3/24,507,417.91,419.88,407.03,409.44,1,-3
9/2/24,431,,,,,0,-1
8/30/24,1000,415.6,417.49,412.13,417.14,15,-4
8/29/24,975,414.94,422.05,410.6,413.12,1,-9
8/28/24,645,414.88,415,407.31,410.6,7,-3
8/27/24,762,412.86,414.36,410.25,413.84,4,-5
8/26/24,389,416.365,417.2799,411.34,413.49,1,-2
8/23/24,793,416.98,419.26,412.09,416.79,2,-16
8/22/24,982,424.36,426.7899,414.61,415.55,5,-16
8/21/24,710,424.075,426.4,421.72,424.14,8,-9
8/20/24,589,421.7,425.86,421.64,424.8,9,-1
8/19/24,493,418.96,421.75,416.46,421.53,0,-1
8/16/24,674,420.6,421.34,417.3,418.47,13,-5
8/15/24,940,419.8,421.11,417.66,421.03,6,-9
8/14/24,934,414.8,417.72,412.4456,416.86,5,-3
8/13/24,768,409.59,414.95,409.57,414.01,3,-4
8/12/24,474,407.06,408.76,404.2434,406.81,0,-5
8/9/24,896,404.03,408.05,402.2624,406.02,15,-19
8/8/24,930,402.44,405.86,399.9407,402.69,3,-29
8/7/24,1157,408.635,410.08,397.47,398.43,9,-60
8/6/24,1223,400,405.67,398.5,399.61,8,-24
8/5/24,779,389.17,401.04,385.58,395.15,4,-8
8/2/24,1128,412.49,415,404.34,408.49,14,-29
8/1/24,1811,420.785,427.46,413.0901,417.11,59,-101
7/31/24,3077,420.495,421.775,412.21,418.35,138,-276
7/30/24,1079,427.72,429.05,417.36,422.92,28,-28
7/29/24,686,431.58,432.15,424.7042,426.73,15,-3
7/26/24,1115,418.2,428.915,417.27,425.27,2,-24
7/25/24,1217,428.8,429.8,417.51,418.4,4,-36
7/24/24,1152,440.45,441.48,427.585,428.9,12,-14
7/23/24,1665,443.895,448.39,443.1,444.85,7,-21
7/22/24,1863,441.79,444.6,438.9125,442.94,1,-30
7/19/24,6614,433.1,441.14,432,437.11,8,-313
7/18/24,945,444.34,444.65,434.4,440.37,12,-15
7/17/24,1005,442.59,444.85,439.18,443.52,5,-37
7/16/24,923,454.22,454.3,446.66,449.52,11,-9
7/15/24,581,453.3,457.26,451.43,453.96,0,-1
7/12/24,913,454.325,456.36,450.645,453.55,5,-17
7/11/24,1382,462.98,464.78,451.55,454.7,22,-37
7/10/24,1455,461.22,466.46,458.855,466.25,12,-18
7/9/24,1167,467,467.33,458,459.54,10,-15
7/8/24,615,466.55,467.7,464.46,466.24,0,-6
7/5/24,681,459.61,468.35,458.965,467.56,1,-8
7/4/24,1059,,,,,8,-23
7/3/24,1095,458.19,461.02,457.88,460.77,9,-1
7/2/24,936,453.2,459.59,453.113,459.28,14,-4
7/1/24,691,448.66,457.37,445.66,456.73,2,-9
6/28/24,1135,453.07,455.38,446.41,446.95,4,-61
6/27/24,1303,452.175,456.17,451.77,452.85,7,-24
6/26/24,1387,449,453.6,448.19,452.16,6,-133
6/25/24,1330,448.25,451.42,446.75,450.95,5,-86
6/24/24,753,449.8,452.75,446.41,447.67,8,-6
6/21/24,1100,447.38,450.58,446.51,449.78,16,-25
6/20/24,1119,446.3,446.53,441.27,445.7,16,-4
6/19/24,1979,,,,,78,-22
6/18/24,1015,449.705,450.14,444.89,446.34,26,-1
6/17/24,757,442.585,450.94,440.72,448.37,4,-2
6/14/24,1454,438.275,443.1376,436.721,442.57,34,-35
6/13/24,1792,440.85,443.39,439.37,441.58,84,-9
6/12/24,1512,435.32,443.4,433.25,441.06,40,-3
6/11/24,1445,425.475,432.82,425.25,432.68,10,-24
6/10/24,904,424.7,428.08,423.89,427.87,6,-3
6/7/24,1372,426.2,426.28,423,423.85,20,-46
6/6/24,1730,424.01,425.31,420.58,424.52,41,-33
6/5/24,1155,417.81,424.08,416.3,424.01,17,-16
6/4/24,1539,412.43,416.44,409.675,416.07,1,-25
6/3/24,801,415.525,416.43,408.9234,413.52,1,-2
5/31/24,920,416.75,416.75,404.51,415.13,2,-22
5/30/24,948,424.3,424.3,414.24,414.67,7,-14
5/29/24,979,425.69,430.94,425.69,429.17,9,-6
5/28/24,678,429.63,430.82,426.6,430.32,1,-2
5/27/24,674,,,,,2,-2
5/24/24,1254,427.19,431.055,424.41,430.16,4,-23
5/23/24,1600,432.97,433.6,425.424,427,16,-18
5/22/24,2209,430.09,432.41,427.13,430.52,23,-5
5/21/24,2054,426.825,432.97,424.85,429.04,7,-6
5/20/24,579,420.21,426.77,419.99,425.34,5,-8
5/17/24,1149,422.54,422.92,418.025,420.21,8,-9
5/16/24,1095,421.8,425.42,420.35,420.99,6,-1
5/15/24,959,417.9,423.81,417.27,423.08,3,-2
5/14/24,1117,412.02,417.49,411.55,416.56,5,-15
5/13/24,917,418.01,418.348,410.82,413.72,2,-22
5/10/24,1032,412.935,415.38,411.8,414.74,4,-3
5/9/24,1293,410.57,412.72,409.1,412.32,5,-4
5/8/24,1223,408.17,412.23,406.7132,410.54,4,-18
5/7/24,1174,414.66,414.67,409.09,409.34,11,-21
5/6/24,570,408.76,413.93,406.3701,413.54,3,-2
5/3/24,957,402.28,407.15,401.86,406.66,28,-11
5/2/24,1182,397.66,399.93,394.6515,397.84,26,-21
5/1/24,1124,392.61,401.7199,390.31,394.94,16,-89
4/30/24,1378,401.49,402.16,389.17,389.33,19,-8
4/29/24,709,405.25,406.32,399.19,402.25,23,-3
4/26/24,2349,412.17,413,405.7601,406.32,318,-42
4/25/24,1051,394.03,399.8899,388.03,399.04,27,-21
4/24/24,1001,409.56,412.47,406.78,409.06,22,-5
4/23/24,942,404.235,408.2,403.06,407.57,13,-12
4/22/24,613,400.08,402.85,395.75,400.96,7,-4
4/19/24,957,404.03,405.48,397.77,399.12,6,-28
4/18/24,903,410.63,411.89,403.95,404.27,9,-22
