Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,234,1292,1302.26,1279.76,1297.18,6,-1
02/07/2025,223,1296.96,1299.95,1271.59,1284.86,5,-2
01/07/2025,144,1338.23,1338.774,1282.22,1293.6,6,-1
30/06/2025,131,1331,1341.15,1321.21,1339.13,0,0
27/06/2025,159,1306.88,1331.345,1301,1323.12,3,0
26/06/2025,129,1280,1307.34,1280,1306.67,1,-2
25/06/2025,150,1286.84,1298,1273.81,1275.25,4,0
24/06/2025,75,1260.545,1282.571,1255,1279.11,3,0
23/06/2025,73,1238.025,1254.84,1215.01,1253.54,1,0
20/06/2025,83,1234.45,1248.5,1224.349,1231.41,1,0
19/06/2025,86,,,,,5,0
18/06/2025,111,1229.99,1242,1220.5,1222.29,1,-1
17/06/2025,65,1219.95,1232.357,1216.09,1220.67,4,0
16/06/2025,59,1212.2,1226.25,1212.2,1225.35,1,0
13/06/2025,128,1206.59,1220.62,1201.89,1212.15,5,0
12/06/2025,124,1222.59,1230,1211.965,1215.03,2,0
11/06/2025,106,1202.6,1228.29,1196.01,1219.88,0,-4
10/06/2025,142,1227.52,1227.52,1180.61,1203.62,5,0
09/06/2025,72,1238.88,1238.88,1221.57,1224.46,0,0
06/06/2025,129,1259.41,1260,1235.55,1241.475,6,0
05/06/2025,133,1240.6,1262.81,1237.29,1250.52,7,0
04/06/2025,175,1220.735,1242.56,1219.88,1239.66,8,-3
03/06/2025,121,1219.87,1229.57,1211.18,1217.94,6,0
02/06/2025,112,1201.2,1219.4,1196.25,1218.98,0,0
30/05/2025,119,1198.33,1211.81,1180.925,1207.23,4,-3
29/05/2025,152,1208,1209,1176.28,1184.86,1,-3
28/05/2025,114,1210.27,1215.91,1206.02,1208.55,3,-1
27/05/2025,86,1195.33,1211.77,1193.09,1211.57,0,0
26/05/2025,62,,,,,0,0
23/05/2025,57,1184,1191.45,1179.44,1185.39,1,-2
22/05/2025,106,1192.4,1198.75,1187.208,1187.97,2,-1
21/05/2025,112,1186.5,1211.22,1186.5,1194.63,1,0
20/05/2025,178,1186.79,1193,1179.02,1192.02,3,-7
19/05/2025,134,1173.575,1191.64,1171.71,1191.64,2,-2
16/05/2025,161,1193.14,1196.5,1179.39,1191.53,11,0
15/05/2025,178,1147.74,1187.802,1147.647,1177.98,1,0
14/05/2025,117,1129.595,1152.9,1128.4,1150.99,6,0
13/05/2025,124,1114.46,1147.88,1106.3,1138.44,2,-2
12/05/2025,65,1124.26,1130,1102.93,1110,0,0
09/05/2025,121,1147.1,1151,1133.22,1140.22,0,-1
08/05/2025,260,1161.62,1162.294,1139.2,1144.43,5,-3
07/05/2025,138,1139.175,1164,1138,1155.41,4,-1
06/05/2025,311,1129.43,1147.66,1126.4,1137.69,4,-37
05/05/2025,107,1114.795,1144.02,1107.01,1134.06,5,-15
02/05/2025,112,1136.66,1159.44,1133.32,1156.49,3,0
01/05/2025,86,1122.52,1142.42,1111.83,1133.47,2,0
30/04/2025,108,1112.65,1133.2,1101.11,1131.72,3,0
29/04/2025,145,1103.92,1127.81,1095.48,1125.64,6,0
28/04/2025,78,1100,1114,1082.62,1110.38,0,0
25/04/2025,159,1097.04,1106.798,1091,1101.53,6,-2
24/04/2025,163,1048,1101,1047.02,1096.87,5,0
23/04/2025,149,1047.225,1061.25,1032,1049.59,12,0
22/04/2025,351,1005.3,1064.97,1004.52,1040.34,59,-2
21/04/2025,256,984.4,1019,973.05,987.91,24,0
18/04/2025,748,,,,,121,-1
17/04/2025,159,969,984.701,956,973.03,12,-8
16/04/2025,278,976.28,981.21,949.165,961.63,30,-3
15/04/2025,215,950,993.45,948,976.28,13,-1
14/04/2025,113,932.7,948.98,919.498,931.28,2,0
11/04/2025,104,920,944.86,906.68,918.29,0,-3
10/04/2025,113,931.94,941.235,894,921.17,3,-1
09/04/2025,149,855.93,951.43,854.4,945.47,6,-1
08/04/2025,144,912.44,922.42,857.7,870.4,2,-1
07/04/2025,98,827.845,906.74,821.1,867.83,1,0
04/04/2025,112,896.5,906.628,853.87,855.86,1,0
03/04/2025,241,901.8,946.592,900.47,917.05,5,0
02/04/2025,155,923,949.548,916.11,935.52,1,0
01/04/2025,148,927.5,932.29,911.5,928.38,2,-4
31/03/2025,100,920.53,934.48,900.59,932.53,0,0
28/03/2025,141,972,974.98,929.23,933.85,1,0
27/03/2025,176,974.22,989,966.366,976.72,0,-3
26/03/2025,118,993.81,996.79,966.32,970.65,5,0
25/03/2025,151,978.18,998.7,977.11,997.28,5,0
24/03/2025,106,969.67,977,951.55,971.99,0,-2
21/03/2025,113,941.635,963.653,940.95,960.29,0,-10
20/03/2025,175,950.01,967,945.5,950.84,1,-24
19/03/2025,145,935.77,968,924,959.49,2,-27
18/03/2025,167,940,948.25,916.3,929.98,23,-2
17/03/2025,141,939.95,967.63,934.42,950.02,4,-2
14/03/2025,92,901.46,919.625,901,918,1,-4
