Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,832,145.56,147.96,145.5,147.9,20,-4
6/23/25,459,142.5,144.78,142.03,144.17,2,-4
6/20/25,538,145.45,146.2,142.65,143.85,7,-3
6/19/25,775,,,,,10,-1
6/18/25,745,144.005,145.65,143.12,145.48,21,-9
6/17/25,920,144.49,145.22,143.78,144.12,28,-4
6/16/25,582,143.345,146.175,143.2001,144.69,9,0
6/13/25,1273,142.48,143.58,140.855,141.97,9,-6
6/12/25,1749,141.97,145,141.85,145,18,-17
6/11/25,1356,144.61,144.99,141.87,142.83,18,-6
6/10/25,1050,142.69,144.29,141.525,143.96,38,-3
6/9/25,699,143.19,145,141.94,142.63,7,-1
6/6/25,1033,142.51,143.27,141.51,141.72,21,-11
6/5/25,1001,142.17,144,138.83,139.99,40,-4
6/4/25,1382,142.19,142.39,139.545,141.92,97,-4
6/3/25,815,138.78,142,137.95,141.22,26,-7
6/2/25,441,135.49,138.12,135.4,137.38,15,-3
5/30/25,2109,138.715,139.62,132.92,135.13,216,-21
5/29/25,4200,142.245,143.49,137.91,139.19,310,-92
5/28/25,1551,136.025,137.25,134.79,134.81,76,-17
5/27/25,1022,134.15,135.66,133.31,135.5,7,-11
5/26/25,1113,,,,,5,-6
5/23/25,1420,130,132.68,129.16,131.29,16,-9
5/22/25,1574,132.23,134.25,131.55,132.83,13,-28
5/21/25,2029,133.06,137.4,130.59,131.8,11,-37
5/20/25,2399,134.29,134.58,132.62,134.38,13,-21
5/19/25,2424,132.39,135.87,132.39,135.57,6,-10
5/16/25,1760,136.22,136.35,133.46,135.4,17,-9
5/15/25,1435,134.295,136.3,132.66,134.83,73,-7
5/14/25,2134,133.195,135.435,131.68,135.34,97,-8
5/13/25,1012,124.98,131.2189,124.47,129.93,41,-9
5/12/25,523,121.97,123,120.28,123,14,-1
5/9/25,813,117.35,118.23,115.21,116.65,22,-9
5/8/25,1071,118.25,118.68,115.85,117.37,29,-11
5/7/25,907,113.045,117.68,112.2818,117.06,5,-26
5/6/25,503,111.48,114.74,110.822,113.54,5,-17
