Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,43,24.14,24.4,24.11,24.31,3,-1
6/23/25,24,23.87,24.085,23.765,24.03,0,0
6/20/25,31,24,24.09,23.77,23.97,0,0
6/19/25,94,,,,,0,-3
6/18/25,92,23.96,24.08,23.77,23.88,0,-11
6/17/25,50,24.27,24.32,23.91,24,0,-2
6/16/25,37,24.5,24.59,24.28,24.4,0,0
6/13/25,74,24.785,24.95,24.46,24.54,3,-1
6/12/25,61,24.53,24.88,24.53,24.84,2,-2
6/11/25,61,24.33,24.69,24.32,24.48,3,-2
6/10/25,110,23.97,24.42,23.96,24.3,2,-2
6/9/25,36,23.44,24.14,23.42,23.97,0,0
6/6/25,91,23.27,23.58,23.245,23.35,0,-7
6/5/25,66,23.44,23.44,23.08,23.12,0,-2
6/4/25,68,23.41,23.54,23.35,23.39,1,-4
6/3/25,106,23.38,23.54,23.06,23.35,1,-3
6/2/25,86,23.54,23.56,23.2219,23.46,0,-1
5/30/25,78,23.48,23.62,23.16,23.49,5,-1
5/29/25,92,23.325,23.45,23.16,23.45,0,-5
5/28/25,84,23.61,23.635,23.11,23.18,5,-1
5/27/25,44,23.55,23.66,23.365,23.61,0,0
5/26/25,34,,,,,0,0
5/23/25,152,22.95,23.39,22.88,23.32,1,-2
5/22/25,184,23.04,23.16,22.81,23.04,2,-8
5/21/25,307,23.47,23.48,23.04,23.04,16,0
5/20/25,394,23.17,23.7,23.155,23.52,24,0
5/19/25,57,22.74,23.03,22.6401,23,1,0
5/16/25,128,22.65,22.845,22.45,22.83,8,-5
5/15/25,232,22.2,22.6,22.09,22.6,0,-9
5/14/25,396,22.86,22.9,21.97,22.02,0,-5
5/13/25,172,22.9,22.98,22.49,22.87,17,-7
5/12/25,88,22.23,23.15,22.18,23.09,0,-7
5/9/25,60,22.51,22.6,22.26,22.28,1,-1
5/8/25,72,22.82,23.09,22.51,22.97,0,0
5/7/25,133,22.99,23.085,22.72,22.79,0,-20
5/6/25,122,23.83,23.89,22.845,22.88,0,-7
5/5/25,33,24.2,24.25,23.85,23.87,0,0
5/2/25,83,24.275,24.3,23.97,24.2,0,-4
5/1/25,91,24.3,24.325,23.8,23.93,3,-1
4/30/25,300,24.195,24.44,23.98,24.41,13,-25
4/29/25,337,22.83,24.12,22.46,23.79,15,-17
4/28/25,97,23.03,23.29,22.9,23.05,0,-1
4/25/25,100,22.77,23.105,22.475,22.92,2,0
4/24/25,64,22.4,22.855,22.23,22.78,0,-3
4/23/25,74,22.7799,23.055,22.235,22.39,5,0
4/22/25,80,22.175,22.5454,22.145,22.53,0,-1
4/21/25,44,22.125,22.17,21.87,22.04,0,0
4/18/25,85,,,,,5,-1
4/17/25,94,22.15,22.55,22.1,22.14,1,-5
4/16/25,105,22.49,22.68,21.95,22.04,2,-1
4/15/25,355,22.17,22.93,22.125,22.44,18,-16
4/14/25,146,22.08,22.23,21.87,22.12,3,-9
4/11/25,68,21.59,22,21.2849,21.91,0,-8
4/10/25,95,22.26,22.27,21.085,21.59,5,-9
4/9/25,98,21.11,22.5369,20.915,22.49,0,-10
4/8/25,73,22.9,22.99,21.44,21.84,0,-5
4/7/25,27,22.14,23.155,21.75,22.63,0,0
4/4/25,60,23.94,24.1,22.95,22.97,0,-7
4/3/25,86,24.74,24.87,24.28,24.29,0,-3
4/2/25,69,24.5,24.735,24.31,24.7,1,-8
4/1/25,102,25.29,25.345,24.52,24.54,5,-2
3/31/25,56,24.8,25.425,24.61,25.34,0,0
3/28/25,99,25.03,25.22,24.81,25.21,1,-9
3/27/25,137,25.2,25.23,24.83,25.01,0,-13
3/26/25,59,25.52,25.65,25.125,25.21,0,-9
3/25/25,59,26.16,26.2,25.51,25.55,0,-3
3/24/25,106,26.1,26.22,25.89,26.14,0,-1
3/21/25,64,26.13,26.52,26.01,26.28,1,-2
3/20/25,71,26.245,26.295,26.015,26.19,0,-3
3/19/25,235,26.33,26.5,26.08,26.21,8,-1
3/18/25,64,26.21,26.4,26.1,26.31,3,-1
