Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,1188,356.17,356.26,340.44,340.47,112,-21
6/23/25,781,327.54,357.54,327.48,348.68,9,-6
6/20/25,317,327.95,332.36,317.78,322.16,7,-1
6/19/25,340,,,,,5,-11
6/18/25,446,317.31,329.32,315.45,322.05,5,-24
6/17/25,386,326.09,327.26,314.74,316.35,11,-7
6/16/25,275,331.29,332.05,326.41,329.13,8,-8
6/13/25,484,313.97,332.99,313.3,325.31,3,-22
6/12/25,735,323.075,332.56,316.86,319.11,23,-31
6/11/25,1102,334.395,335.5,322.5,326.43,38,-36
6/10/25,886,314.94,327.83,310.667,326.09,20,-73
6/9/25,641,285.955,309.83,281.85,308.58,3,-29
6/6/25,2842,298.83,305.5,291.14,295.14,24,-415
6/5/25,659,322.49,324.5499,273.21,284.7,5,-53
6/4/25,683,345.095,345.6,327.3308,332.05,13,-29
6/3/25,525,346.595,355.4,343.04,344.27,4,-47
6/2/25,406,343.5,348.02,333.33,342.69,6,-23
5/30/25,657,355.52,363.68,345.29,346.46,23,-24
5/29/25,919,365.29,367.71,356,358.43,13,-31
5/28/25,782,364.84,365,355.91,356.9,27,-65
5/27/25,655,347.35,363.79,347.32,362.89,6,-52
5/26/25,299,,,,,1,-6
5/23/25,831,337.92,343.18,333.21,339.34,16,-28
5/22/25,586,331.9,347.27,331.39,341.04,3,-17
5/21/25,1387,344.43,347.35,332.2,334.62,26,-65
5/20/25,452,347.87,354.9899,341.63,343.82,8,-35
5/19/25,299,336.3,343,333.37,342.09,0,-6
5/16/25,451,346.24,351.62,342.33,349.98,5,-8
5/15/25,588,340.34,346.1393,334.7153,342.82,13,-19
5/14/25,695,342.5,350,337,347.68,17,-27
5/13/25,561,320,337.5894,316.8,334.07,30,-27
5/12/25,381,321.99,322.21,311.5,318.38,12,-6
5/9/25,399,290.21,307.04,290,298.26,6,-9
5/8/25,515,279.63,289.8,279.41,284.82,1,-36
5/7/25,602,276.88,277.92,271,276.22,4,-75
5/6/25,450,273.105,277.73,271.35,275.35,3,-46
5/5/25,194,284.57,284.849,274.4,280.26,0,-11
5/2/25,623,284.9,294.78,279.81,287.21,10,-67
5/1/25,1003,280.01,290.8688,279.81,280.52,5,-84
4/30/25,482,279.9,284.45,270.78,282.16,6,-21
4/29/25,496,285.5,293.32,279.4695,292.03,15,-26
4/28/25,295,288.98,294.86,272.42,285.88,6,-11
4/25/25,714,261.69,286.85,259.63,284.95,17,-46
4/24/25,1647,250.5,259.54,249.2,259.51,40,-169
4/23/25,3060,254.86,259.4499,244.43,250.74,65,-461
4/22/25,893,230.96,242.79,229.8501,237.97,3,-120
4/21/25,430,230.26,232.21,222.79,227.5,0,-31
4/18/25,361,,,,,0,-28
4/17/25,526,243.47,244.34,237.6833,241.37,1,-66
4/16/25,545,247.61,251.97,233.89,241.55,8,-20
4/15/25,471,249.91,258.75,247.54,254.11,7,-21
4/14/25,291,258.36,261.8,245.93,252.35,0,-6
4/11/25,942,251.84,257.74,241.3629,252.31,9,-66
4/10/25,803,260,262.49,239.33,252.4,33,-38
4/9/25,1004,224.69,274.69,223.88,272.2,9,-40
4/8/25,902,245,250.44,217.8,221.86,3,-82
4/7/25,693,223.78,252,214.25,233.29,1,-43
4/4/25,713,255.38,261,236,239.43,4,-87
4/3/25,2348,265.29,276.3,261.51,267.28,64,-342
4/2/25,1185,254.6,284.99,251.27,282.76,21,-91
4/1/25,1198,263.8,277.45,259.25,268.46,5,-109
