Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,300,202.59,203.44,200.2,200.3,11,-18
6/23/25,169,201.625,202.3,198.96,201.5,5,-13
6/20/25,484,198.235,201.7,196.855,201,8,-161
6/19/25,273,,,,,3,-12
6/18/25,246,195.94,197.57,195.07,196.58,8,-17
6/17/25,282,197.2,198.39,195.21,195.64,7,-15
6/16/25,146,197.3,198.685,196.5636,198.42,4,-3
6/13/25,396,199.73,200.37,195.7,196.45,28,-7
6/12/25,411,199.08,199.68,197.3601,199.2,1,-22
6/11/25,742,203.5,204.5,198.41,198.78,9,-40
6/10/25,1713,200.6,204.35,200.57,202.67,13,-31
6/9/25,308,204.39,206,200.02,201.45,6,-4
6/6/25,399,203,205.7,202.05,203.92,5,-31
6/5/25,425,203.5,204.75,200.15,200.63,11,-65
6/4/25,339,202.91,206.24,202.1,202.82,13,-33
6/3/25,281,201.35,203.77,200.955,203.27,5,-11
6/2/25,193,200.28,202.13,200.12,201.7,6,-15
5/30/25,350,199.37,201.96,196.78,200.85,8,-22
5/29/25,394,203.575,203.81,198.51,199.95,14,-24
5/28/25,490,200.59,202.73,199.9,200.42,12,-32
5/27/25,224,198.3,200.74,197.43,200.21,9,-13
5/26/25,217,,,,,5,-20
5/23/25,768,193.665,197.7,193.46,195.27,10,-71
5/22/25,466,200.71,202.75,199.7,201.36,4,-27
5/21/25,540,205.17,207.04,200.71,202.09,4,-21
5/20/25,352,207.67,208.47,205.03,206.86,3,-45
5/19/25,233,207.91,209.48,204.26,208.78,3,-13
5/16/25,663,212.36,212.57,209.77,211.26,12,-24
5/15/25,561,210.95,212.96,209.54,211.45,16,-33
5/14/25,425,212.43,213.94,210.5801,212.33,9,-14
5/13/25,632,210.43,213.4,209,212.93,26,-27
5/12/25,237,210.97,211.2679,206.75,210.79,11,-11
5/9/25,405,199,200.5399,197.535,198.53,9,-19
5/8/25,858,197.72,200.05,194.6796,197.49,6,-70
5/7/25,310,199.17,199.44,193.25,196.25,6,-18
5/6/25,393,198.21,200.65,197.02,198.51,8,-36
5/5/25,236,203.1,204.1,198.21,198.89,8,-31
5/2/25,1451,206.09,206.99,202.16,205.35,260,-151
5/1/25,529,209.08,214.56,208.9,213.32,10,-122
4/30/25,278,209.3,213.58,206.6705,212.5,12,-21
4/29/25,263,208.693,212.24,208.37,211.21,11,-7
4/28/25,220,210,211.5,207.46,210.14,12,-10
4/25/25,491,206.365,209.75,206.2,209.28,8,-15
