Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,217,221.82,224.01,221.36,223.41,14,-13
02/07/2025,318,219.73,221.6,219.06,219.92,14,-55
01/07/2025,290,219.5,221.875,217.93,220.46,10,-33
30/06/2025,142,223.52,223.82,219.12,219.39,8,-7
27/06/2025,193,219.92,223.3,216.74,223.3,14,-5
26/06/2025,174,213.12,218.035,212.01,217.12,5,-4
25/06/2025,193,214.615,216.03,211.11,211.99,9,-11
24/06/2025,210,212.135,214.34,211.045,212.77,10,-4
23/06/2025,89,209.79,210.39,207.31,208.47,8,-4
20/06/2025,199,214.68,214.89,208.271,209.69,7,-25
19/06/2025,319,,,,,10,-14
18/06/2025,433,215.09,217.96,212.34,212.52,7,-29
17/06/2025,196,215.195,217.41,214.56,214.82,12,-4
16/06/2025,122,212.31,217.06,211.6,216.1,9,-2
13/06/2025,160,209.96,214.05,209.62,212.1,5,-4
12/06/2025,210,211.78,213.58,211.33,213.24,5,-7
11/06/2025,206,217.41,218.4,212.89,213.2,2,-6
10/06/2025,291,216.78,217.69,214.15,217.61,10,-4
09/06/2025,83,214.75,217.85,212.88,216.98,6,-2
06/06/2025,262,212.4,213.87,210.5,213.57,8,-8
05/06/2025,380,209.55,212.81,207.56,207.91,6,-4
04/06/2025,143,206.55,208.18,205.18,207.23,8,-9
03/06/2025,128,207.105,208.947,205.03,205.71,10,-11
02/06/2025,71,204.98,207,202.68,206.65,10,-4
30/05/2025,214,204.84,205.99,201.695,205.01,4,-5
29/05/2025,125,208.025,208.81,204.23,205.7,4,-4
28/05/2025,118,205.915,207.66,204.41,204.72,3,-6
27/05/2025,74,203.085,206.69,202.19,206.02,3,-5
26/05/2025,79,,,,,5,-4
23/05/2025,292,198.9,202.37,197.85,200.99,22,-45
22/05/2025,295,201.38,205.76,200.16,203.1,46,-23
21/05/2025,139,201.61,203.455,200.06,201.12,4,-11
20/05/2025,121,204.628,205.59,202.65,204.07,2,-7
19/05/2025,81,201.645,206.62,201.26,206.16,1,-9
16/05/2025,186,206.85,206.85,204.374,205.59,8,-8
15/05/2025,224,206.45,206.88,202.673,205.17,16,-20
14/05/2025,191,211.45,211.93,208.85,210.25,11,-3
13/05/2025,218,211.08,214.84,210.1,211.37,45,-6
12/05/2025,119,210.71,211.66,205.75,208.64,6,-3
09/05/2025,186,193.375,194.69,191.16,193.06,40,-6
08/05/2025,239,191.43,194.33,188.82,192.08,12,-13
07/05/2025,221,185.56,190.99,185.01,188.71,14,-10
06/05/2025,207,184.57,187.93,183.85,185.01,9,-12
05/05/2025,132,186.51,188.18,185.53,186.35,11,-11
02/05/2025,1569,191.435,192.88,186.4,189.98,269,-120
01/05/2025,418,190.63,191.807,187.5,190.2,22,-39
30/04/2025,1821,182.17,185.05,178.85,184.42,17,-313
29/04/2025,385,183.99,188.016,183.68,187.39,16,-10
28/04/2025,151,190.105,190.22,184.885,187.7,7,-4
25/04/2025,240,187.62,189.94,185.49,188.99,21,-4
24/04/2025,174,180.915,186.74,180.18,186.54,9,-3
23/04/2025,224,183.45,187.38,180.19,180.6,20,-9
22/04/2025,249,169.845,176.78,169.35,173.18,9,-26
21/04/2025,106,169.6,169.6,165.285,167.32,1,-13
18/04/2025,135,,,,,3,-1
17/04/2025,117,176,176.21,172,172.61,0,-3
16/04/2025,182,176.29,179.105,171.41,174.33,4,-11
15/04/2025,155,181.41,182.35,177.933,179.59,4,-12
14/04/2025,64,186.84,187.44,179.23,182.12,3,-4
11/04/2025,443,179.93,185.86,178,184.87,26,-18
10/04/2025,528,185.44,186.869,175.852,181.22,11,-38
09/04/2025,280,172.115,192.65,169.93,191.1,7,-4
