Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,153,203,203.51,200.18,200.94,6,-26
6/23/25,113,197.825,202.2,197.47,201.31,6,-15
6/20/25,335,198.66,200.675,197.45,198.75,3,-42
6/19/25,427,,,,,5,-42
6/18/25,416,199,201.06,196.8,197.68,7,-49
6/17/25,520,201.31,205.31,198.87,200.26,15,-55
6/16/25,734,200.57,204,199.08,201.7,5,-137
6/13/25,3298,200.675,202.23,195.28,200.32,26,-807
6/12/25,1498,202.17,206.34,201.28,203.75,15,-399
6/11/25,195,215.5,216.205,212.21,214,20,-10
6/10/25,173,217.58,217.9,213.251,215.73,19,-6
6/9/25,122,211.23,218.8,211.09,217.51,4,-7
6/6/25,220,210.24,211.11,208.04,210.8,18,-26
6/5/25,193,212.5,212.99,208.22,209.02,12,-24
6/4/25,150,214.77,214.99,211.03,211.98,15,-10
6/3/25,209,212,215.8,211.77,213.43,47,-19
6/2/25,137,210.98,212.341,207.9,211.47,22,-7
5/30/25,392,206.77,207.7,204.35,207.32,32,-55
5/29/25,163,201.775,212.28,201.5,208.18,5,-11
5/28/25,121,201.95,202.45,200.215,201.5,2,-12
5/27/25,105,204.28,205,200.88,201.03,3,-14
5/26/25,101,,,,,0,-15
5/23/25,202,199.95,203.2,198.75,202.36,9,-20
5/22/25,675,202.53,204.73,201.85,203.41,13,-16
5/21/25,244,206.6,207.12,202.43,203.21,18,-14
5/20/25,258,205,208.62,205,207.67,13,-25
5/19/25,244,203,205.6,202.3,205.25,16,-50
5/16/25,637,205.69,206.24,203.02,205.82,50,-17
5/15/25,2143,207.35,208.6,205.42,206.24,223,-49
5/14/25,826,205.8,209.66,204.05,204.72,49,-48
5/13/25,970,200.295,205.73,199.67,203.42,21,-46
5/12/25,722,198.16,198.78,193.06,198.53,14,-22
5/9/25,599,193.55,195.3,192.18,194.85,81,-10
5/8/25,198,186.76,194.75,186.22,191.7,10,-18
5/7/25,245,185,186.72,183.5,185.56,6,-22
5/6/25,145,184.71,186.2,183.63,185.96,5,-20
5/5/25,72,184.39,187.58,184.39,186.46,2,-7
5/2/25,240,185,187.58,184.08,185.46,10,-28
5/1/25,172,182.85,184.75,182.03,182.89,11,-14
4/30/25,198,178.47,183.79,177.63,183.24,9,-15
4/29/25,333,182.52,184.25,181.2,182,48,-47
4/28/25,136,182.75,184.53,180.75,182.3,16,-10
4/25/25,485,176.5,180.325,175.86,177.95,25,-25
4/24/25,622,171.2,177.4,169,176.26,72,-58
4/23/25,456,174,176.58,169.91,172.37,39,-35
4/22/25,360,162.5,163.09,158.5,162.52,7,-33
4/21/25,368,160,160,156.47,159.34,12,-40
4/18/25,263,,,,,10,-31
4/17/25,470,157.13,163.9,157,161.9,6,-105
4/16/25,1658,154.365,157.659,153.545,156.47,22,-440
4/15/25,678,155.275,159.12,155.275,155.52,17,-211
4/14/25,94,159.82,162.55,157.6,159.28,6,-12
