Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,400,178.5,179.67,177.05,179.53,26,-27
02/07/2025,390,175.54,178.86,175.07,178.64,16,-32
01/07/2025,553,175.735,176.09,173.53,175.84,26,-16
30/06/2025,366,180.78,181.23,174.58,176.23,21,-19
27/06/2025,520,173.54,178.68,171.73,178.53,48,-11
26/06/2025,523,172.43,173.69,169.94,173.54,45,-8
25/06/2025,564,167.63,172.36,167.55,170.68,38,-24
24/06/2025,499,166.92,168.22,166.13,166.77,39,-32
23/06/2025,235,166.27,167.34,162,165.19,16,-16
20/06/2025,581,173.945,174.34,165.46,166.64,17,-121
19/06/2025,412,,,,,25,-22
18/06/2025,372,176.01,176.56,173.2,173.32,22,-7
17/06/2025,342,175.7,177.365,174.58,175.95,17,-8
16/06/2025,205,174.73,176.94,174.65,176.77,6,-10
13/06/2025,592,172.44,177.13,172.385,174.67,17,-110
12/06/2025,477,176.18,176.72,174.745,175.7,31,-7
11/06/2025,900,179.77,180.37,176.75,177.35,71,-14
10/06/2025,527,176.2,181.105,174.91,178.6,30,-27
09/06/2025,286,174.54,176.47,174.37,176.09,23,-18
06/06/2025,349,170.83,174.5,170.83,173.68,13,-9
05/06/2025,373,170.34,170.93,167.59,168.21,14,-19
04/06/2025,521,166.735,168.215,166.36,168.05,16,-39
03/06/2025,413,167.49,168.475,165.28,166.18,15,-41
02/06/2025,256,167.84,169.87,167.39,169.03,11,-9
30/05/2025,418,171.35,172.205,167.44,171.74,21,-14
29/05/2025,415,174,174.419,170.63,171.86,20,-17
28/05/2025,420,173.16,175.265,171.911,172.36,23,-11
27/05/2025,324,170.16,173.17,170,172.9,14,-9
26/05/2025,324,,,,,18,-11
23/05/2025,773,169.055,169.96,167.89,168.47,92,-28
22/05/2025,1349,171.85,176.77,170.71,170.87,128,-32
21/05/2025,1710,163.69,173.14,163.56,168.56,71,-26
20/05/2025,497,166.43,168.5,162.9,163.98,22,-10
19/05/2025,234,164.51,166.64,164.22,166.54,17,-9
16/05/2025,451,167.725,169.35,165.62,166.19,29,-23
15/05/2025,614,165.84,166.205,162.373,163.96,52,-31
14/05/2025,636,159.96,167,159.61,165.37,15,-34
13/05/2025,486,158.79,160.57,156.16,159.53,26,-43
12/05/2025,268,157.485,159.1,156.25,158.46,12,-22
09/05/2025,718,154.17,155.05,152.2,152.75,54,-69
08/05/2025,1888,155,155.93,152.9,154.28,59,-385
07/05/2025,383,164.08,165,147.84,151.38,19,-19
06/05/2025,380,162.17,164.8,161.19,163.23,16,-16
05/05/2025,216,163,165.39,162.72,164.21,14,-5
02/05/2025,409,163.405,164.97,161.87,164.03,17,-15
01/05/2025,517,160.45,161.95,158.91,161.3,24,-15
30/04/2025,426,157.975,159.27,155.4,158.8,25,-22
29/04/2025,431,160.325,160.74,157.52,160.16,58,-23
28/04/2025,350,162.425,163.15,158.6,160.61,38,-9
25/04/2025,2065,165.07,166.1,161.04,161.96,704,-56
24/04/2025,607,156.15,159.59,155.79,159.28,66,-32
23/04/2025,688,155.61,157.525,153.81,155.35,56,-52
22/04/2025,562,148.89,152.19,148.54,151.47,15,-66
21/04/2025,314,148.88,148.945,146.1,147.67,11,-44
18/04/2025,934,,,,,26,-368
17/04/2025,434,154.29,154.68,148.5,151.16,13,-45
16/04/2025,501,153.1,155.89,151.51,153.33,12,-58
15/04/2025,521,159.125,159.65,155.21,156.31,20,-22
14/04/2025,282,159.995,161.72,157.56,159.07,11,-5
11/04/2025,487,152.9,157.67,152.82,157.14,14,-34
10/04/2025,599,156.54,157.72,149.93,152.82,16,-16
09/04/2025,359,144.415,159.55,143.905,158.71,20,-16
08/04/2025,329,151.22,152.24,143.03,144.7,20,-15
07/04/2025,214,141.55,152.85,140.53,146.75,13,-15
04/04/2025,334,148.01,151.07,145.38,145.6,7,-11
03/04/2025,404,151.11,152.78,150.39,150.72,16,-14
02/04/2025,401,155.15,158.405,154.7,157.04,15,-11
01/04/2025,460,153.62,158.1,153.62,157.07,30,-20
31/03/2025,269,153.11,155.54,150.662,154.64,11,-16
28/03/2025,322,160.49,161.82,153.63,154.33,6,-15
27/03/2025,442,164.63,165.42,162,162.24,8,-15
26/03/2025,636,169,169.61,164.84,165.06,17,-13
25/03/2025,393,168.98,170.63,168.315,170.56,6,-9
24/03/2025,231,167.065,168.32,165.14,167.68,11,-9
21/03/2025,417,161.205,164.24,160.89,163.99,15,-25
20/03/2025,681,161.57,164.89,160.96,162.8,26,-29
19/03/2025,1475,161.76,165.87,161,163.89,57,-46
18/03/2025,774,163.675,164.25,156.72,160.67,17,-18
17/03/2025,264,165.03,166.3,163.67,164.29,8,-6
