Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,54,726.61,729.03,714.42,719.01,2,-1
02/07/2025,77,715.325,720.3,712.8,713.57,1,-3
01/07/2025,132,736.875,737.75,715.37,719.22,5,-4
30/06/2025,50,744.55,747.9,734.25,738.09,3,-2
27/06/2025,91,726.515,735.43,725.86,733.63,5,-5
26/06/2025,85,714.355,728.22,711.05,726.09,3,-7
25/06/2025,56,713.315,716.58,705.38,708.68,2,-5
24/06/2025,83,704.885,713.19,702.11,712.2,4,-7
23/06/2025,59,683.69,699.05,678.75,698.53,1,-3
20/06/2025,184,700.75,701.82,678.67,682.35,5,-44
19/06/2025,135,,,,,23,-7
18/06/2025,136,698.18,701.59,694.9,695.77,4,-4
17/06/2025,76,702,705.97,696.06,697.23,3,-3
16/06/2025,59,699.33,707.15,693.51,702.12,1,-7
13/06/2025,76,687.95,694.57,681.01,682.87,2,-2
12/06/2025,87,693.3,695.38,687,693.36,2,-1
11/06/2025,59,703.705,708.871,691.99,694.14,0,-1
10/06/2025,87,701.345,703.23,691.56,702.4,0,-5
09/06/2025,53,698.46,705.19,693.94,694.06,1,-1
06/06/2025,99,696.17,702.806,691.87,697.71,1,-2
05/06/2025,91,691.66,694.38,682.25,684.62,3,-4
04/06/2025,116,669.32,689,668.57,687.95,4,-3
03/06/2025,84,671.445,675.58,665.03,666.85,1,-7
02/06/2025,44,644.39,673.26,644.262,670.9,1,-2
30/05/2025,80,642.5,649.41,632.78,647.49,5,-1
29/05/2025,60,651.645,653.32,639.5,645.05,2,-4
28/05/2025,70,642.6,650.88,642.547,643.58,0,-5
27/05/2025,39,635.41,643.08,632.75,642.32,0,-2
26/05/2025,46,,,,,2,-1
23/05/2025,61,624,632.445,622.65,627.06,2,-4
22/05/2025,63,634.05,643.25,630.71,636.57,0,-4
21/05/2025,55,631.79,646.61,630.17,635.5,0,0
20/05/2025,56,636.01,639.354,632.26,637.1,0,-2
19/05/2025,37,628.25,643,627.8,640.43,0,-2
16/05/2025,94,637.955,640.44,626.15,640.34,1,-5
15/05/2025,66,654.275,657.31,638.58,643.88,2,-2
14/05/2025,96,661.21,662.67,654.31,659.36,2,-2
13/05/2025,166,645.545,660.92,642.83,656.03,7,-5
12/05/2025,84,630.92,640.39,621.03,639.43,5,-1
09/05/2025,174,603.72,606.97,591.706,592.49,6,-4
08/05/2025,163,606.285,611.296,596.62,598.01,8,-8
07/05/2025,164,590.36,603.075,586.67,596.81,12,-6
06/05/2025,133,592.525,596.03,586.58,587.31,4,-10
05/05/2025,80,591.22,603.21,588.05,599.27,2,-5
02/05/2025,397,583.455,604.34,578.33,597.02,42,-20
01/05/2025,798,592.075,592.95,570.5,572.21,116,-12
30/04/2025,294,538.4,549.1,529.5,549,4,-6
29/04/2025,146,546,556.57,544.12,554.44,4,-9
28/04/2025,108,555.64,558.49,540.59,549.74,3,-10
25/04/2025,214,546.8,549.86,536.25,547.27,11,-7
24/04/2025,269,518.73,533.9,517.5,533.15,5,-23
