Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
04/07/2025,,,,,,,
03/07/2025,168,1292,1302.26,1279.76,1297.18,11,-3
02/07/2025,304,1296.96,1299.95,1271.59,1284.86,19,-7
01/07/2025,229,1338.23,1338.774,1282.22,1293.6,15,-5
30/06/2025,85,1331,1341.15,1321.21,1339.13,6,-1
27/06/2025,227,1306.88,1331.345,1301,1323.12,10,-2
26/06/2025,174,1280,1307.34,1280,1306.67,7,-2
25/06/2025,214,1286.84,1298,1273.81,1275.25,17,0
24/06/2025,127,1260.545,1282.571,1255,1279.11,4,-2
23/06/2025,56,1238.025,1254.84,1215.01,1253.54,3,0
20/06/2025,59,1234.45,1248.5,1224.349,1231.41,12,0
19/06/2025,126,,,,,2,-4
18/06/2025,89,1229.99,1242,1220.5,1222.29,8,-1
17/06/2025,80,1219.95,1232.357,1216.09,1220.67,1,-1
16/06/2025,40,1212.2,1226.25,1212.2,1225.35,7,-2
13/06/2025,130,1206.59,1220.62,1201.89,1212.15,9,-3
12/06/2025,158,1222.59,1230,1211.965,1215.03,10,-4
11/06/2025,234,1202.6,1228.29,1196.01,1219.88,6,-13
10/06/2025,88,1227.52,1227.52,1180.61,1203.62,1,-3
09/06/2025,65,1238.88,1238.88,1221.57,1224.46,3,-3
06/06/2025,230,1259.41,1260,1235.55,1241.475,15,0
05/06/2025,196,1240.6,1262.81,1237.29,1250.52,29,-1
04/06/2025,152,1220.735,1242.56,1219.88,1239.66,14,-1
03/06/2025,151,1219.87,1229.57,1211.18,1217.94,18,-2
02/06/2025,63,1201.2,1219.4,1196.25,1218.98,5,0
30/05/2025,199,1198.33,1211.81,1180.925,1207.23,16,-6
29/05/2025,209,1208,1209,1176.28,1184.86,14,-2
28/05/2025,146,1210.27,1215.91,1206.02,1208.55,12,-4
27/05/2025,51,1195.33,1211.77,1193.09,1211.57,3,-1
26/05/2025,40,,,,,1,0
23/05/2025,137,1184,1191.45,1179.44,1185.39,3,-1
22/05/2025,349,1192.4,1198.75,1187.208,1187.97,23,-6
21/05/2025,147,1186.5,1211.22,1186.5,1194.63,7,-5
20/05/2025,218,1186.79,1193,1179.02,1192.02,15,-13
19/05/2025,69,1173.575,1191.64,1171.71,1191.64,15,-6
16/05/2025,365,1193.14,1196.5,1179.39,1191.53,57,-4
15/05/2025,275,1147.74,1187.802,1147.647,1177.98,18,-3
14/05/2025,170,1129.595,1152.9,1128.4,1150.99,14,-2
13/05/2025,303,1114.46,1147.88,1106.3,1138.44,9,-16
12/05/2025,94,1124.26,1130,1102.93,1110,0,-1
09/05/2025,274,1147.1,1151,1133.22,1140.22,11,-9
08/05/2025,473,1161.62,1162.294,1139.2,1144.43,24,-3
07/05/2025,308,1139.175,1164,1138,1155.41,9,-3
06/05/2025,887,1129.43,1147.66,1126.4,1137.69,27,-69
05/05/2025,505,1114.795,1144.02,1107.01,1134.06,13,-30
02/05/2025,242,1136.66,1159.44,1133.32,1156.49,14,-6
01/05/2025,276,1122.52,1142.42,1111.83,1133.47,17,-2
30/04/2025,334,1112.65,1133.2,1101.11,1131.72,31,-7
29/04/2025,270,1103.92,1127.81,1095.48,1125.64,23,-4
28/04/2025,68,1100,1114,1082.62,1110.38,7,-1
25/04/2025,793,1097.04,1106.798,1091,1101.53,83,-5
24/04/2025,309,1048,1101,1047.02,1096.87,19,-4
23/04/2025,649,1047.225,1061.25,1032,1049.59,87,-10
22/04/2025,692,1005.3,1064.97,1004.52,1040.34,90,-22
