Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,82,24.14,24.4,24.11,24.31,0,-6
6/23/25,29,23.87,24.085,23.765,24.03,0,-1
6/20/25,46,24,24.09,23.77,23.97,0,-1
6/19/25,82,,,,,2,-3
6/18/25,91,23.96,24.08,23.77,23.88,2,-2
6/17/25,118,24.27,24.32,23.91,24,1,-4
6/16/25,48,24.5,24.59,24.28,24.4,0,-5
6/13/25,124,24.785,24.95,24.46,24.54,2,-3
6/12/25,123,24.53,24.88,24.53,24.84,6,-6
6/11/25,145,24.33,24.69,24.32,24.48,4,-6
6/10/25,198,23.97,24.42,23.96,24.3,7,-10
6/9/25,54,23.44,24.14,23.42,23.97,2,-2
6/6/25,82,23.27,23.58,23.245,23.35,0,-3
6/5/25,82,23.44,23.44,23.08,23.12,0,-4
6/4/25,96,23.41,23.54,23.35,23.39,1,-7
6/3/25,104,23.38,23.54,23.06,23.35,4,-13
6/2/25,80,23.54,23.56,23.2219,23.46,1,-10
5/30/25,127,23.48,23.62,23.16,23.49,2,-9
5/29/25,113,23.325,23.45,23.16,23.45,1,-10
5/28/25,118,23.61,23.635,23.11,23.18,1,-10
5/27/25,75,23.55,23.66,23.365,23.61,2,-5
5/26/25,73,,,,,0,-6
5/23/25,237,22.95,23.39,22.88,23.32,1,-12
5/22/25,256,23.04,23.16,22.81,23.04,4,-12
5/21/25,299,23.47,23.48,23.04,23.04,15,-16
5/20/25,304,23.17,23.7,23.155,23.52,19,-22
5/19/25,112,22.74,23.03,22.6401,23,2,-22
5/16/25,291,22.65,22.845,22.45,22.83,3,-47
5/15/25,354,22.2,22.6,22.09,22.6,6,-23
5/14/25,302,22.86,22.9,21.97,22.02,2,-28
5/13/25,240,22.9,22.98,22.49,22.87,12,-11
5/12/25,247,22.23,23.15,22.18,23.09,4,-13
5/9/25,135,22.51,22.6,22.26,22.28,0,-13
5/8/25,201,22.82,23.09,22.51,22.97,1,-11
5/7/25,271,22.99,23.085,22.72,22.79,2,-23
5/6/25,152,23.83,23.89,22.845,22.88,2,-10
5/5/25,93,24.2,24.25,23.85,23.87,2,-8
5/2/25,161,24.275,24.3,23.97,24.2,3,-9
5/1/25,230,24.3,24.325,23.8,23.93,12,-6
4/30/25,530,24.195,24.44,23.98,24.41,42,-27
4/29/25,274,22.83,24.12,22.46,23.79,18,-16
4/28/25,90,23.03,23.29,22.9,23.05,1,-3
4/25/25,140,22.77,23.105,22.475,22.92,0,-3
4/24/25,181,22.4,22.855,22.23,22.78,4,-9
4/23/25,130,22.7799,23.055,22.235,22.39,1,-8
4/22/25,87,22.175,22.5454,22.145,22.53,0,-5
4/21/25,44,22.125,22.17,21.87,22.04,2,-7
4/18/25,174,,,,,7,-7
4/17/25,148,22.15,22.55,22.1,22.14,0,-4
4/16/25,235,22.49,22.68,21.95,22.04,3,-2
4/15/25,548,22.17,22.93,22.125,22.44,9,-14
4/14/25,289,22.08,22.23,21.87,22.12,8,-17
4/11/25,158,21.59,22,21.2849,21.91,0,-9
4/10/25,306,22.26,22.27,21.085,21.59,5,-14
4/9/25,381,21.11,22.5369,20.915,22.49,6,-16
4/8/25,165,22.9,22.99,21.44,21.84,3,-4
4/7/25,93,22.14,23.155,21.75,22.63,1,-7
4/4/25,181,23.94,24.1,22.95,22.97,2,-14
4/3/25,177,24.74,24.87,24.28,24.29,0,-13
4/2/25,252,24.5,24.735,24.31,24.7,3,-19
4/1/25,187,25.29,25.345,24.52,24.54,6,-14
3/31/25,64,24.8,25.425,24.61,25.34,1,-5
3/28/25,281,25.03,25.22,24.81,25.21,7,-23
3/27/25,301,25.2,25.23,24.83,25.01,3,-33
3/26/25,219,25.52,25.65,25.125,25.21,1,-3
3/25/25,162,26.16,26.2,25.51,25.55,1,-6
3/24/25,122,26.1,26.22,25.89,26.14,1,-8
3/21/25,97,26.13,26.52,26.01,26.28,1,-5
3/20/25,146,26.245,26.295,26.015,26.19,3,-7
3/19/25,176,26.33,26.5,26.08,26.21,3,-14
3/18/25,123,26.21,26.4,26.1,26.31,4,-5
3/17/25,70,25.74,26.15,25.585,26.05,1,-5
3/14/25,180,25.62,25.76,25.495,25.72,3,-15
3/13/25,287,25.76,26.07,25.53,25.6,5,-20
3/12/25,260,25.935,25.97,25.5,25.71,3,-20
3/11/25,138,26.57,26.62,25.87,25.99,3,-5
