Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
6/25/25,,,,,,,
6/24/25,3581,356.17,356.26,340.44,340.47,545,-197
6/23/25,2998,327.54,357.54,327.48,348.68,132,-111
6/20/25,1305,327.95,332.36,317.78,322.16,87,-61
6/19/25,1469,,,,,113,-103
6/18/25,1393,317.31,329.32,315.45,322.05,85,-188
6/17/25,1525,326.09,327.26,314.74,316.35,132,-154
6/16/25,921,331.29,332.05,326.41,329.13,97,-80
6/13/25,2051,313.97,332.99,313.3,325.31,115,-195
6/12/25,2130,323.075,332.56,316.86,319.11,155,-194
6/11/25,3290,334.395,335.5,322.5,326.43,368,-234
6/10/25,2567,314.94,327.83,310.667,326.09,276,-303
6/9/25,1808,285.955,309.83,281.85,308.58,111,-236
6/6/25,11398,298.83,305.5,291.14,295.14,646,-3121
6/5/25,2396,322.49,324.5499,273.21,284.7,177,-366
6/4/25,2110,345.095,345.6,327.3308,332.05,187,-241
6/3/25,1969,346.595,355.4,343.04,344.27,139,-251
6/2/25,1370,343.5,348.02,333.33,342.69,104,-156
5/30/25,2119,355.52,363.68,345.29,346.46,151,-232
5/29/25,2596,365.29,367.71,356,358.43,211,-278
5/28/25,2717,364.84,365,355.91,356.9,424,-465
5/27/25,1454,347.35,363.79,347.32,362.89,110,-243
5/26/25,1109,,,,,61,-84
5/23/25,2101,337.92,343.18,333.21,339.34,256,-181
5/22/25,1867,331.9,347.27,331.39,341.04,167,-178
5/21/25,3424,344.43,347.35,332.2,334.62,286,-249
5/20/25,1537,347.87,354.9899,341.63,343.82,136,-155
5/19/25,1092,336.3,343,333.37,342.09,88,-107
5/16/25,1584,346.24,351.62,342.33,349.98,143,-146
5/15/25,2224,340.34,346.1393,334.7153,342.82,305,-167
5/14/25,2770,342.5,350,337,347.68,356,-198
5/13/25,2030,320,337.5894,316.8,334.07,311,-162
5/12/25,1364,321.99,322.21,311.5,318.38,175,-112
5/9/25,1627,290.21,307.04,290,298.26,128,-160
5/8/25,1462,279.63,289.8,279.41,284.82,83,-206
5/7/25,1687,276.88,277.92,271,276.22,72,-319
5/6/25,1570,273.105,277.73,271.35,275.35,84,-297
5/5/25,1056,284.57,284.849,274.4,280.26,54,-127
5/2/25,2493,284.9,294.78,279.81,287.21,112,-385
